Exercise,Diet,WeightLoss
Cardio,A,22.6
Cardio,A,18.9
Cardio,A,20.2
Cardio,A,18.5
Cardio,A,19.9
Cardio,A,17.4
Cardio,A,21.5
Cardio,A,23.6
Cardio,A,21.9
Cardio,A,20.5
Cardio,B,5.9
Cardio,B,5.8
Cardio,B,6.4
Cardio,B,6.8
Cardio,B,6.9
Cardio,B,10.5
Cardio,B,7.5
Cardio,B,5
Cardio,B,7.2
Cardio,B,9.1
Weights,A,9.7
Weights,A,7.1
Weights,A,7.2
Weights,A,10.3
Weights,A,10.9
Weights,A,4.2
Weights,A,9.4
Weights,A,10
Weights,A,9.2
Weights,A,10.1
Weights,B,9.8
Weights,B,12.7
Weights,B,14.4
Weights,B,11.6
Weights,B,8.3
Weights,B,11
Weights,B,12.1
Weights,B,10.9
Weights,B,12
Weights,B,12.5
