Transaction,Items
0401331687,10010408 - Global 90i
0401331687,10050106 - Air Injector
0401331687,81010102 - Milking System - parallel
0401656343,70020201 - Animal Feed and Feed Supplements
0402424315,10010503 - Mione
0402715900,20030201 - Activity Sensor
0402747286,30050102 - PK Plate Cooler
0402905249,30999901 - One time part number
0402905286,30040102 - With SCROLL Compressors
0402905286,83069999 - Heat Recovery / Hot Water Tanks
0402906434,70020306 - Additional Animal Health Products
0402906434,70020799 - Additional Grooming Supplies
0402906434,70040201 - Working Clothes
0402928808,50500601 - Support posts
0402956638,20030101 - Identification (Responder) complete
0402956638,82030101 - ID Tags/Labels Collars and Accessories
0402974720,10010503 - Mione
0402975628,10010302 - Herringbone Parlour Euroclass 1200
0402975628,10010303 - Herringbone Parlour Euroclass 800
0402975628,10010804 - Milking Parlour Curbs and Grates
0402975628,10010805 - Milking Parlour Gate (without DPNet)
0402975628,10010898 - Milking Parlour Accessories
0402975628,10010899 - Milking Parlour Accessories others
0402975628,10019898 - Milking Parlour Frames diverse attachment parts
0402975628,10030101 - Oil Vane Style Pump
0402975628,10030501 - Vacuum Tanks
0402975628,10030699 - Frequency Converter Vacuum Pumps
0402975628,10030703 - Vacuum Regulators (servo-controlled)
0402975628,10030801 - Vacuum Pipes Plastic
0402975628,10030804 - Vacuum Distribution System Accessories
0402975628,"10040102 - Milk Receiver Pump, Stainless Steel"
0402975628,10040105 - Milk Receiver  Vessel and Traps
0402975628,10040201 - Milk Filter
0402975628,10040402 - Pipe Stainless Steel metric
0402975628,10040502 - Accessories Milk Lines Stainless Steel  metric
0402975628,10050102 - Through System Washers
0402975628,10050106 - Air Injector
0402975628,10050201 - CIP Units for Cows
0402975628,10060102 - Pulsators (electric) without Stimulation
0402975628,10069998 - Pulsation diverse attachement parts
0402975628,10070101 - Cluster Positioning for Cows
0402975628,10080106 - Milking Control Units DeMax for Milking Parlours w
0402975628,10091102 - Classic 300
0402975628,10999999 - Global/unspecific others
0402975628,20020199 - Elektronik hardware VC3
0402975628,20020299 - Electronic Hardware DPNET
0402975628,20020499 - Electronic Hardware other versions
0402975628,20050102 - Milking Control Units with or without Milk Meterin
0402975628,20050104 - Milk Metering with accessories
0402975628,20050106 - Milk Samplers
0402975628,20060201 - Concentrate Feeders for Calfs
0402975628,20070102 - Selection AMS for Cows
0402975628,30050102 - PK Plate Cooler
0402975628,80905005 - Global/unspecific Electro Terminal Blocks/Connecto
0402975628,80905008 - Global/unspecific Electro Cables
0402975628,80906101 - Global/unspecific Rubber Gaskets
0402975628,80906199 - global/unspececific Rubber Parts others
0402975628,80906299 - Global/unspecific Plastic Parts others
0402975628,80908001 - Global/unspecific Screws / Nuts / Washers / Rivets
0402975628,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0402975628,81010108 - Leonardo Installations
0402975628,81039999 - Vacuum Technology general/others
0402975628,81046199 - Milk Handling Rubber general/others
0402975628,81048001 - Milk Handling Fixing/Fitting Milk Line Connection
0402975628,81059999 - Cleaning general/others
0402975628,81069999 - Pulsation general/others
0402975628,81096101 - Clusters Rubber Liners
0402975628,81096102 - Clusters Rubber long Milk Tubes
0402975628,81096104 - Clusters Rubber long Vacuum Tubes
0402975628,81096105 - Clusters Rubber short Vacuum Tubes
0402975628,81096203 - Clusters PVC long Vacuum Tubes
0402975628,82048099 - Parlour ID Attachment Parts
0402975628,83999999 - Cooling Parts general/others
0402975628,95010101 - Tools
0402977503,10010503 - Mione
0402977503,81019999 - Milking System general/others
0402977645,10020101 - Crowd Gate
0402977645,81025101 - Crowd Gate Electronic Cards
0402977849,10010503 - Mione
0402977849,30050102 - PK Plate Cooler
0402977849,81019999 - Milking System general/others
0402977849,82030101 - ID Tags/Labels Collars and Accessories
0402977849,82068002 - Feeding Attachment Parts Boxes for Cows in Stanchi
0402978713,10010503 - Mione
0402981289,10010898 - Milking Parlour Accessories
0402981289,10010899 - Milking Parlour Accessories others
0402981289,10010905 - Autorotor Magnum 40
0402981289,10010998 - Autorotor Accessories
0402981289,10019898 - Milking Parlour Frames diverse attachment parts
0402981289,10030101 - Oil Vane Style Pump
0402981289,10030501 - Vacuum Tanks
0402981289,10030699 - Frequency Converter Vacuum Pumps
0402981289,10030703 - Vacuum Regulators (servo-controlled)
0402981289,10030801 - Vacuum Pipes Plastic
0402981289,10030804 - Vacuum Distribution System Accessories
0402981289,10030901 - Vacuum System Packages Stainless Steel for Autorot
0402981289,"10040102 - Milk Receiver Pump, Stainless Steel"
0402981289,10040104 - Milk Receiver diverse attachment parts
0402981289,10040201 - Milk Filter
0402981289,10040401 - Milk Pipe Plastic
0402981289,10040402 - Pipe Stainless Steel metric
0402981289,10040502 - Accessories Milk Lines Stainless Steel  metric
0402981289,10050102 - Through System Washers
0402981289,10050105 - Detergent Dispenser
0402981289,10050106 - Air Injector
0402981289,10050201 - CIP Units for Cows
0402981289,10060201 - Fresh Air Pulsation
0402981289,10070101 - Cluster Positioning for Cows
0402981289,10080106 - Milking Control Units DeMax for Milking Parlours w
0402981289,10080301 - Tack-Off Cylinder
0402981289,10091102 - Classic 300
0402981289,10999999 - Global/unspecific others
0402981289,20010402 - VPU Processing Unit with software
0402981289,20010501 - Dairyplan-CDs
0402981289,20020199 - Elektronik hardware VC3
0402981289,20020299 - Electronic Hardware DPNET
0402981289,20020499 - Electronic Hardware other versions
0402981289,20030201 - Activity Sensor
0402981289,"20040101 - Parlour ID for Cows Herringbone Parlours, ATD and "
0402981289,20040302 - UHF 433 MHz Identification System
0402981289,20050102 - Milking Control Units with or without Milk Meterin
0402981289,20050104 - Milk Metering with accessories
0402981289,20050106 - Milk Samplers
0402981289,20060101 - In Parlour Feeding for Cows
0402981289,20060201 - Concentrate Feeders for Calfs
0402981289,20070101 - Parlour Selection for Cows
0402981289,80905005 - Global/unspecific Electro Terminal Blocks/Connecto
0402981289,80905008 - Global/unspecific Electro Cables
0402981289,80906199 - global/unspececific Rubber Parts others
0402981289,80906299 - Global/unspecific Plastic Parts others
0402981289,80908099 - Global/unspecific Fixings/Fittings others
0402981289,81010102 - Milking System - parallel
