Person ID,Party,Type
3A,democrat,handicapped-infants
4A,democrat,handicapped-infants
5A,democrat,handicapped-infants
6A,democrat,handicapped-infants
7A,democrat,handicapped-infants
8A,republican,handicapped-infants
9A,democrat,handicapped-infants
11A,democrat,handicapped-infants
13A,democrat,handicapped-infants
15A,republican,handicapped-infants
17A,democrat,handicapped-infants
18A,democrat,handicapped-infants
19A,democrat,handicapped-infants
20A,democrat,handicapped-infants
21A,democrat,handicapped-infants
22A,democrat,handicapped-infants
23A,republican,handicapped-infants
29A,democrat,handicapped-infants
30A,republican,handicapped-infants
33A,democrat,handicapped-infants
34A,republican,handicapped-infants
35A,republican,handicapped-infants
36A,democrat,handicapped-infants
39A,democrat,handicapped-infants
47A,democrat,handicapped-infants
48A,democrat,handicapped-infants
49A,democrat,handicapped-infants
50A,democrat,handicapped-infants
51A,democrat,handicapped-infants
52A,democrat,handicapped-infants
53A,democrat,handicapped-infants
54A,democrat,handicapped-infants
55A,democrat,handicapped-infants
58A,democrat,handicapped-infants
59A,republican,handicapped-infants
68A,democrat,handicapped-infants
75A,republican,handicapped-infants
79A,republican,handicapped-infants
85A,republican,handicapped-infants
86A,republican,handicapped-infants
87A,democrat,handicapped-infants
91A,democrat,handicapped-infants
95A,democrat,handicapped-infants
99A,democrat,handicapped-infants
100A,democrat,handicapped-infants
101A,democrat,handicapped-infants
105A,democrat,handicapped-infants
110A,republican,handicapped-infants
121A,democrat,handicapped-infants
123A,democrat,handicapped-infants
124A,democrat,handicapped-infants
125A,democrat,handicapped-infants
128A,democrat,handicapped-infants
130A,democrat,handicapped-infants
131A,democrat,handicapped-infants
134A,democrat,handicapped-infants
135A,democrat,handicapped-infants
136A,democrat,handicapped-infants
138A,republican,handicapped-infants
139A,democrat,handicapped-infants
140A,democrat,handicapped-infants
141A,republican,handicapped-infants
149A,democrat,handicapped-infants
150A,democrat,handicapped-infants
151A,democrat,handicapped-infants
161A,democrat,handicapped-infants
164A,democrat,handicapped-infants
168A,democrat,handicapped-infants
170A,democrat,handicapped-infants
172A,democrat,handicapped-infants
174A,democrat,handicapped-infants
177A,democrat,handicapped-infants
178A,democrat,handicapped-infants
179A,republican,handicapped-infants
185A,republican,handicapped-infants
190A,republican,handicapped-infants
193A,democrat,handicapped-infants
194A,democrat,handicapped-infants
195A,republican,handicapped-infants
196A,republican,handicapped-infants
204A,democrat,handicapped-infants
205A,democrat,handicapped-infants
206A,democrat,handicapped-infants
207A,democrat,handicapped-infants
208A,republican,handicapped-infants
209A,democrat,handicapped-infants
212A,republican,handicapped-infants
214A,democrat,handicapped-infants
218A,democrat,handicapped-infants
220A,democrat,handicapped-infants
221A,republican,handicapped-infants
222A,democrat,handicapped-infants
223A,democrat,handicapped-infants
224A,democrat,handicapped-infants
225A,republican,handicapped-infants
229A,democrat,handicapped-infants
1A,democrat,water-project-cost-sharing
2A,republican,water-project-cost-sharing
3A,democrat,water-project-cost-sharing
4A,democrat,water-project-cost-sharing
7A,democrat,water-project-cost-sharing
9A,democrat,water-project-cost-sharing
