"Type","Description","Case","Location","Agency","Date","CityState","Address","lon","lat"
NA,"AUTO BURGLARY",130028331,"400 BLOCK AMHERST DR SE","Albuquerque Police","3/31/2013 18:32","Albuquerque NM","400 BLOCK AMHERST DR SE Albuquerque NM",-106.6057921,35.0754138
NA,"BURGLARY/BREAKING AND ENTERING",130028322,"3600 BLOCK SILVER AV SE","Albuquerque Police","3/31/2013 18:00","Albuquerque NM","3600 BLOCK SILVER AV SE Albuquerque NM",-106.6045199,35.0784572
NA,"AUTO BURGLARY",130028207,"300 BLOCK MADISON ST NE","Albuquerque Police","3/31/2013 5:30","Albuquerque NM","300 BLOCK MADISON ST NE Albuquerque NM",-106.591589,35.081941
NA,"BURGLARY/BREAKING AND ENTERING",130028158,"1800 BLOCK SILVER AV SE","Albuquerque Police","3/30/2013 22:40","Albuquerque NM","1800 BLOCK SILVER AV SE Albuquerque NM",-106.6269949,35.07905
NA,"BURGLARY/BREAKING AND ENTERING",130028148,"1800 BLOCK SILVER AV SE","Albuquerque Police","3/30/2013 22:00","Albuquerque NM","1800 BLOCK SILVER AV SE Albuquerque NM",-106.6269949,35.07905
NA,"AUTO BURGLARY",130800858,"2000 BLOCK GOLD AV SE","Albuquerque Police","3/30/2013 14:10","Albuquerque NM","2000 BLOCK GOLD AV SE Albuquerque NM",-106.624445,35.07974
NA,"THEFT FROM A MOTOR VEHICLE",130027970,"1500 BLOCK LEAD AV SE","Albuquerque Police","3/30/2013 11:15","Albuquerque NM","1500 BLOCK LEAD AV SE Albuquerque NM",-106.594926,35.0759618
NA,"COMMERCIAL BURGLARY",130027932,"3400 BLOCK CENTRAL AV E","Albuquerque Police","3/30/2013 6:57","Albuquerque NM","3400 BLOCK CENTRAL AV E Albuquerque NM",-106.6068726,35.0797839
NA,"BURGLARY/BREAKING AND ENTERING",130027837,"100 BLOCK COLUMBIA DR SE","Albuquerque Police","3/29/2013 19:22","Albuquerque NM","100 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170292,35.0809014
NA,"AUTO BURGLARY",130027800,"3000 BLOCK CENTRAL AV E","Albuquerque Police","3/29/2013 13:54","Albuquerque NM","3000 BLOCK CENTRAL AV E Albuquerque NM",-106.6116778,35.0805132
NA,"AUTO THEFT",130027602,"800 BLOCK LOCUST PL NE","Albuquerque Police","3/29/2013 9:18","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"AUTO BURGLARY",130027518,"500 BLOCK CEDAR ST SE","Albuquerque Police","3/28/2013 22:25","Albuquerque NM","500 BLOCK CEDAR ST SE Albuquerque NM",-106.6345911,35.0783133
NA,"AUTO BURGLARY",130027374,"100 BLOCK CARLISLE BL NE","Albuquerque Police","3/28/2013 14:34","Albuquerque NM","100 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO BURGLARY",130027275,"RICHMOND DR NE/ CENTRAL AV E","Albuquerque Police","3/28/2013 11:15","Albuquerque NM","RICHMOND DR NE/ CENTRAL AV E Albuquerque NM",-106.5469102,35.0731054
NA,"AUTO THEFT",130027215,"200 BLOCK ADAMS ST SE","Albuquerque Police","3/28/2013 8:12","Albuquerque NM","200 BLOCK ADAMS ST SE Albuquerque NM",-106.5943177,35.0770611
NA,"AUTO BURGLARY",130027201,"1100 BLOCK CENTRAL AV E","Albuquerque Police","3/28/2013 5:52","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO BURGLARY",130027136,"300 BLOCK CEDAR ST SE","Albuquerque Police","3/27/2013 20:31","Albuquerque NM","300 BLOCK CEDAR ST SE Albuquerque NM",-106.6342209,35.080229
NA,"AUTO THEFT",130027128,"500 BLOCK PRINCETON DR SE","Albuquerque Police","3/27/2013 19:13","Albuquerque NM","500 BLOCK PRINCETON DR SE Albuquerque NM",-106.615469,35.073527
NA,"AUTO BURGLARY",130027075,"1100 BLOCK CENTRAL AV E","Albuquerque Police","3/27/2013 17:01","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"BURGLARY/BREAKING AND ENTERING",130026997,"3900 BLOCK SOLANO PL NE","Albuquerque Police","3/27/2013 14:32","Albuquerque NM","3900 BLOCK SOLANO PL NE Albuquerque NM",-106.6014738,35.0955137
NA,"ROBBERY",130026990,"2400 BLOCK LEAD AV SE","Albuquerque Police","3/27/2013 14:07","Albuquerque NM","2400 BLOCK LEAD AV SE Albuquerque NM",-106.594926,35.0759618
NA,"AUTO BURGLARY",130026947,"4400 BLOCK CUTLER AV NE","Albuquerque Police","3/27/2013 13:00","Albuquerque NM","4400 BLOCK CUTLER AV NE Albuquerque NM",-106.5944953,35.1047947
NA,"AUTO BURGLARY",130026958,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","3/27/2013 12:02","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"AUTO BURGLARY",130800832,"400 BLOCK MONTCLAIRE DR NE","Albuquerque Police","3/27/2013 10:37","Albuquerque NM","400 BLOCK MONTCLAIRE DR NE Albuquerque NM",-106.5981582,35.0837408
NA,"AUTO BURGLARY",130026885,"1500 BLOCK UNIVERSITY BL NE","Albuquerque Police","3/27/2013 9:00","Albuquerque NM","1500 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6267156,35.0974276
NA,"AUTO BURGLARY",130026856,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","3/27/2013 8:15","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"AUTO THEFT",130026695,"1600 BLOCK LOMAS BL NE","Albuquerque Police","3/26/2013 15:51","Albuquerque NM","1600 BLOCK LOMAS BL NE Albuquerque NM",-106.626642,35.090076
NA,"BURGLARY/BREAKING AND ENTERING",130026636,"4700 BLOCK MARQUETTE AV NE","Albuquerque Police","3/26/2013 13:18","Albuquerque NM","4700 BLOCK MARQUETTE AV NE Albuquerque NM",-106.5930068,35.0836596
NA,"COMMERCIAL BURGLARY",130026623,"100 BLOCK MONTCLAIRE DR SE","Albuquerque Police","3/26/2013 12:08","Albuquerque NM","100 BLOCK MONTCLAIRE DR SE Albuquerque NM",-106.5987965,35.0790648
NA,"AUTO BURGLARY",130026538,"1500 BLOCK TIJERAS AV NE","Albuquerque Police","3/26/2013 8:15","Albuquerque NM","1500 BLOCK TIJERAS AV NE Albuquerque NM",-106.6295247,35.0837264
NA,"AUTO BURGLARY",130026473,"800 BLOCK LOCUST PL NE","Albuquerque Police","3/25/2013 19:41","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"ROBBERY",130026417,"300 BLOCK YALE BL SE","Albuquerque Police","3/25/2013 17:16","Albuquerque NM","300 BLOCK YALE BL SE Albuquerque NM",-106.6215694,35.0770272
NA,"AUTO BURGLARY",130026383,"1500 BLOCK UNIVERSITY BL NE","Albuquerque Police","3/25/2013 16:11","Albuquerque NM","1500 BLOCK UNIVERSITY BL NE Albuquerque NM",-106.6267156,35.0974276
NA,"AUTO BURGLARY",130026358,"800 BLOCK LOCUST PL NE","Albuquerque Police","3/25/2013 15:20","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"BURGLARY/BREAKING AND ENTERING",130026295,"500 BLOCK SOLANO DR SE","Albuquerque Police","3/25/2013 11:52","Albuquerque NM","500 BLOCK SOLANO DR SE Albuquerque NM",-106.6019479,35.073459
NA,"AUTO THEFT",130026199,"400 BLOCK PRINCETON DR SE","Albuquerque Police","3/25/2013 6:02","Albuquerque NM","400 BLOCK PRINCETON DR SE Albuquerque NM",-106.6158076,35.0754538
NA,"AUTO BURGLARY",130026130,"1100 BLOCK CENTRAL AV E","Albuquerque Police","3/24/2013 19:30","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130026070,"2500 BLOCK CUTLER AV NE","Albuquerque Police","3/24/2013 15:37","Albuquerque NM","2500 BLOCK CUTLER AV NE Albuquerque NM",-106.6207078,35.1050946
NA,"AUTO BURGLARY",130026058,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","3/24/2013 14:27","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"AUTO THEFT",130026044,"1500 BLOCK LEAD AV SE","Albuquerque Police","3/24/2013 13:08","Albuquerque NM","1500 BLOCK LEAD AV SE Albuquerque NM",-106.594926,35.0759618
NA,"THEFT FROM A MOTOR VEHICLE",130800808,"500 BLOCK CEDAR ST SE","Albuquerque Police","3/23/2013 12:23","Albuquerque NM","500 BLOCK CEDAR ST SE Albuquerque NM",-106.6345911,35.0783133
NA,"COMMERCIAL BURGLARY",130025392,"3200 BLOCK SILVER AV SE","Albuquerque Police","3/22/2013 9:30","Albuquerque NM","3200 BLOCK SILVER AV SE Albuquerque NM",-106.6095284,35.0790586
NA,"AUTO BURGLARY",130025367,"200 BLOCK BRYN MAWR DR NE","Albuquerque Police","3/22/2013 8:44","Albuquerque NM","200 BLOCK BRYN MAWR DR NE Albuquerque NM",-106.6095062,35.0812595
NA,"AUTO BURGLARY",130025355,"800 BLOCK JEFFERSON ST NE","Albuquerque Police","3/22/2013 7:42","Albuquerque NM","800 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5929978,35.0906199
NA,"BURGLARY/BREAKING AND ENTERING",130025266,"200 BLOCK COLUMBIA DR SE","Albuquerque Police","3/21/2013 19:43","Albuquerque NM","200 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170437,35.0790966
NA,"BURGLARY/BREAKING AND ENTERING",130025256,"1700 BLOCK VASSAR DR NE","Albuquerque Police","3/21/2013 17:26","Albuquerque NM","1700 BLOCK VASSAR DR NE Albuquerque NM",-106.6147,35.102696
NA,"AUTO BURGLARY",130025194,"300 BLOCK HARVARD DR SE","Albuquerque Police","3/21/2013 16:33","Albuquerque NM","300 BLOCK HARVARD DR SE Albuquerque NM",-106.620447,35.07716
NA,"AUTO BURGLARY",130025183,"800 BLOCK JEFFERSON ST NE","Albuquerque Police","3/21/2013 15:30","Albuquerque NM","800 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5929978,35.0906199
NA,"AUTO BURGLARY",130025161,"1400 BLOCK ALISO DR NE","Albuquerque Police","3/21/2013 14:51","Albuquerque NM","1400 BLOCK ALISO DR NE Albuquerque NM",-106.600308,35.095456
NA,"AUTO BURGLARY",130025111,"600 BLOCK ENCINO PL NE","Albuquerque Police","3/21/2013 13:16","Albuquerque NM","600 BLOCK ENCINO PL NE Albuquerque NM",-106.632468,35.087037
NA,"AUTO BURGLARY",130800767,"800 BLOCK JEFFERSON ST NE","Albuquerque Police","3/21/2013 9:32","Albuquerque NM","800 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5929978,35.0906199
NA,"AUTO THEFT",130024877,"1900 BLOCK LEAD AV SE","Albuquerque Police","3/20/2013 17:18","Albuquerque NM","1900 BLOCK LEAD AV SE Albuquerque NM",-106.594926,35.0759618
NA,"AUTO THEFT",130024727,"2600 BLOCK GARFIELD AV SE","Albuquerque Police","3/20/2013 9:05","Albuquerque NM","2600 BLOCK GARFIELD AV SE Albuquerque NM",-106.6170695,35.0736667
NA,"BURGLARY/BREAKING AND ENTERING",130024574,"500 BLOCK ADAMS ST NE","Albuquerque Police","3/19/2013 16:55","Albuquerque NM","500 BLOCK ADAMS ST NE Albuquerque NM",-106.5941588,35.0855421
NA,"BURGLARY/BREAKING AND ENTERING",130024562,"1500 BLOCK HARVARD CT NE","Albuquerque Police","3/19/2013 14:22","Albuquerque NM","1500 BLOCK HARVARD CT NE Albuquerque NM",-106.6213702,35.0987133
NA,"AUTO THEFT",130024301,"100 BLOCK ASH ST SE","Albuquerque Police","3/18/2013 18:52","Albuquerque NM","100 BLOCK ASH ST SE Albuquerque NM",-106.6290858,35.0816003
NA,"AUTO BURGLARY",130800734,"3300 BLOCK CENTRAL AV E","Albuquerque Police","3/18/2013 12:07","Albuquerque NM","3300 BLOCK CENTRAL AV E Albuquerque NM",-106.607937,35.0800402
NA,"BURGLARY/BREAKING AND ENTERING",130024095,"600 BLOCK JEFFERSON ST NE","Albuquerque Police","3/18/2013 9:52","Albuquerque NM","600 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5930073,35.0874466
NA,"AUTO THEFT",130023980,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","3/17/2013 19:44","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"BURGLARY/BREAKING AND ENTERING",130023958,"200 BLOCK SPRUCE ST NE","Albuquerque Police","3/17/2013 17:40","Albuquerque NM","200 BLOCK SPRUCE ST NE Albuquerque NM",-106.6322014,35.0830836
NA,"AUTO THEFT",130023859,"1500 BLOCK COPPER AV NE","Albuquerque Police","3/17/2013 10:49","Albuquerque NM","1500 BLOCK COPPER AV NE Albuquerque NM",-106.6297311,35.0827435
NA,"AUTO BURGLARY",130023850,"1400 BLOCK AVENIDA MANANA NE","Albuquerque Police","3/17/2013 9:12","Albuquerque NM","1400 BLOCK AVENIDA MANANA NE Albuquerque NM",-106.598639,35.096375
NA,"ROBBERY",130023844,"2900 BLOCK CENTRAL AV E","Albuquerque Police","3/17/2013 9:07","Albuquerque NM","2900 BLOCK CENTRAL AV E Albuquerque NM",-106.613,35.08056
NA,"ROBBERY",130023834,"3800 BLOCK CENTRAL AV E","Albuquerque Police","3/17/2013 7:34","Albuquerque NM","3800 BLOCK CENTRAL AV E Albuquerque NM",-106.601921,35.0791674
NA,"AUTO THEFT",130023527,"1400 BLOCK GOLD AV SE","Albuquerque Police","3/16/2013 8:01","Albuquerque NM","1400 BLOCK GOLD AV SE Albuquerque NM",-106.6316556,35.0809395
NA,"BURGLARY/BREAKING AND ENTERING",130023472,"4300 BLOCK ZUNI RD SE","Albuquerque Police","3/15/2013 22:50","Albuquerque NM","4300 BLOCK ZUNI RD SE Albuquerque NM",-106.5971371,35.0729249
NA,"AUTO BURGLARY",130023317,"1700 BLOCK INDIAN PLAZA DR NE","Albuquerque Police","3/15/2013 16:17","Albuquerque NM","1700 BLOCK INDIAN PLAZA DR NE Albuquerque NM",-106.606112,35.103321
