Max Horizontal Resolution,Memory Technology,Installed Memory,Processor Speed,Processor,Manufacturer,Infrared,Bluetooth,Docking Station,Port Replicator,Fingerprint,Subwoofer,External Battery,CDMA,Operating System,Warranty-Days,Price
1200,DDR2,512,1830,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,949.99
800,DDR2,1000,2000,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,999.95
800,DDR2,1000,2000,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1085.8
800,DDR2,1000,2160,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1089.99
800,DDR2,512,2000,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1199.99
800,DDR2,1000,2000,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1249.99
800,DDR2,512,1830,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1299.99
800,DDR2,1000,2160,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1349.95
800,DDR2,512,2000,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1549.99
900,DDR2,2000,2200,Intel Core2 Duo,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,1883.99
900,DDR2,2000,2330,Intel Core2 Duo,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1899
768,DDR-SDRAM_(DDRRAM),256,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,539
768,SDRAM,250,933,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,559
768,DDR-SDRAM_(DDRRAM),256,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,569
768,DDR-SDRAM_(DDRRAM),256,1330,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,579
768,DDR-SDRAM_(DDRRAM),256,867,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,579
768,DDR-SDRAM_(DDRRAM),256,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,599
768,DDR-SDRAM_(DDRRAM),256,1200,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,649
768,DDR-SDRAM_(DDRRAM),512,1330,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,659
854,DDR-SDRAM_(DDRRAM),256,867,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,679
768,DDR-SDRAM_(DDRRAM),256,1330,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,729.99
768,DDR-SDRAM_(DDRRAM),512,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,749.95
768,DDR-SDRAM_(DDRRAM),512,1500,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,779
768,DDR-SDRAM_(DDRRAM),512,1250,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,799
768,DDR-SDRAM_(DDRRAM),512,1420,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,799
960,DDR2,512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,949
900,DDR-SDRAM_(DDRRAM),512,1330,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,1029
900,DDR-SDRAM_(DDRRAM),512,1500,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,1075
768,DDR-SDRAM_(DDRRAM),512,1500,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1129.99
900,DDR-SDRAM_(DDRRAM),512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1295
1050,DDR2,512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1399
854,DDR-SDRAM_(DDRRAM),512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1893.36
854,DDR-SDRAM_(DDRRAM),512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,1893.36
800,DDR2,512,1800,AMD Mobile Sempron,HP_(Hewlett-Packard),NO,YES,YES,YES,YES,NO,NO,NO,Vista_Business,365,642.61
800,DDR2,512,1800,AMD Mobile Sempron,HP_(Hewlett-Packard),NO,YES,YES,YES,YES,NO,NO,NO,Vista_Business,365,652.59
768,DDR2,1000,1600,AMD Turion 64x2,Fujitsu,NO,NO,NO,NO,YES,NO,NO,NO,Vista_Business,365,1674
800,DDR2,512,1600,AMD Turion 64x2,HP_(Hewlett-Packard),NO,NO,YES,YES,YES,NO,NO,NO,Vista_Business,365,688.99
800,DDR2,1000,1600,AMD Turion 64x2,HP_(Hewlett-Packard),NO,NO,NO,NO,YES,NO,NO,NO,Vista_Business,365,757.98
800,DDR2,1000,1600,AMD Turion 64x2,HP_(Hewlett-Packard),NO,NO,YES,YES,YES,NO,NO,NO,Vista_Business,365,767.84
800,DDR2,1000,1800,AMD Turion 64x2,HP_(Hewlett-Packard),NO,YES,YES,YES,NO,NO,NO,NO,Vista_Business,1095,904.99
768,DDR2,512,1730,Intel Celeron,Lenovo,NO,NO,NO,NO,NO,NO,NO,NO,Vista_Business,365,599.99
