spell,event,censor2,censor3,censor4,ui,reprate,logwage,tenure,disrate,slack,abolpos,explose,stateur,houshead,married,female,child,ychild,nonwhite,age,schlt12,schgt12,smsa,bluecoll,mining,constr,transp,trade,fire,services,pubadmin,year85,year87,year89,midatl,encen,wncen,southatl,escen,wscen,mountain,pacific
5,1,0,0,0,0,0.179,6.89568,3,0.045,1,0,0,6.6,1,1,0,1,1,0,41,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1,0,0,0,1,0.52,5.28827,6,0.13,1,0,0,6.6,1,1,0,1,1,0,30,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,1,0,0,0,1,0.204,6.76734,1,0.051,1,0,0,6.6,0,0,0,0,0,0,36,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,1,0.448,5.97889,3,0.112,1,0,0,6.6,1,1,0,1,1,1,26,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,1,0,1,0.32,6.31536,0,0.08,0,1,1,6.6,1,0,0,0,0,0,22,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,1,1,0.187,6.85435,9,0.047,0,0,1,6.6,1,1,0,1,1,0,43,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0.52,5.60947,1,0.13,1,0,0,6.6,1,1,0,1,1,1,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,0.373,6.16121,0,0.093,1,0,0,6.6,1,1,0,1,1,0,32,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,1,0.52,5.28827,2,0.13,1,0,1,6.6,1,1,0,1,0,0,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,0.52,5.28827,1,0.13,1,0,1,6.6,0,1,1,0,0,0,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,1,1,0.52,5.75574,2,0.13,0,0,0,6.6,1,1,0,1,1,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,1,1,0.224,6.67203,21,0.056,0,1,1,6.6,1,1,0,0,0,0,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0.52,5.06259,0,0.13,0,0,1,6.6,1,0,1,0,0,0,39,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,1,1,0.52,4.95583,0,0.13,0,0,1,6.6,1,0,1,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.52,5.28827,0,0.13,1,0,0,6.6,1,1,0,1,1,0,20,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0.498,5.87493,14,0.124,0,0,0,6.6,1,1,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,1,0,0,1,0.32,6.31536,10,0.08,0,0,1,6.6,1,0,0,0,0,0,38,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.373,6.16121,10,0.093,0,0,1,6.6,0,0,0,0,0,0,38,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0.52,4.7362,0,0.13,0,0,1,6.6,0,1,1,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,0,0.52,5.46806,2,0.13,1,0,0,6.6,1,1,0,1,1,0,26,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,1,1,0.52,5.64897,8,0.13,1,0,0,6.6,0,0,0,0,0,0,44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,0.52,5.15906,7,0.13,0,1,0,6.6,1,1,0,1,0,0,52,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,0.52,5.64897,10,0.13,1,0,0,6.6,1,1,0,1,1,1,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,0,0.52,4.77912,0,0.13,0,0,0,6.6,0,0,1,0,0,0,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,1,0.299,6.38519,2,0.075,0,0,0,6.6,1,1,0,1,0,0,43,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1,0,0,0,0,0.52,5.28827,1,0.13,0,0,0,6.6,0,1,1,1,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0.52,5.53339,1,0.13,1,0,0,6.6,0,0,0,0,0,0,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,0,1,0,1,0.373,6.16121,3,0.093,0,0,1,6.6,1,0,1,0,0,0,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0.52,5.53339,7,0.13,0,1,0,6.6,1,1,0,1,0,0,45,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.52,5.62402,4,0.13,0,0,1,6.6,1,0,0,0,0,0,37,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,0.224,6.67203,12,0.056,0,0,1,6.6,1,1,0,1,0,0,47,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,1,0.498,5.87493,2,0.124,0,0,0,6.6,1,0,1,0,0,0,27,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.52,5.62402,0,0.13,0,0,1,6.6,1,1,0,0,0,0,42,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,0,0.112,7.36455,3,0.028,0,0,1,6.6,1,1,0,1,0,0,44,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,0.32,6.31536,11,0.08,0,0,1,6.6,0,1,1,1,1,0,31,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,0,0,0,1,0,0.52,5.75574,2,0.13,1,0,0,6.6,0,0,0,0,0,0,29,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,1,0,0.52,5.28827,1,0.13,0,0,1,6.6,0,1,1,0,0,1,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,1,0.52,5.55683,9,0.13,0,1,0,6.6,1,1,1,1,0,0,36,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0.52,5.46806,0,0.13,1,0,0,6.6,1,0,1,0,0,0,39,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,0.277,6.45834,2,0.069,1,0,1,6.6,1,1,0,0,0,0,44,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,0.509,5.8522,8,0.127,1,0,1,6.6,0,0,0,0,0,0,29,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1,0,0.448,5.97889,2,0.112,0,1,1,6.6,1,0,1,0,0,0,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,0.52,5.46806,0,0.13,1,0,1,6.6,1,0,0,1,1,0,35,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
