PRODUCT,CurrVol,CurrPrice,CurrProfit
0001-1562-700,2,147.275,0.602512307
0001-1563-700,25,63.6116,0.134384295
0003-0083-800,5,3.686,0.761258817
0003-0267-800,1,24.83,0.492146597
0003-0425-808,821,19.5374665,0.396931845
0003-0702-810,4,2.83,0.698763251
0003-3655-700,6,53.79,0.72696288
0003-3656-700,18,49.65333333,0.759152345
0003-3903-800,20,2.107,0.937826293
0004-1618-009,64,157.1284375,0.462691747
0004-1659-880,320,7.81834375,0.621475137
0004-1871-720,21,2.527142857,0.929150179
0004-2219-870,250,10.83384,0.549411843
0004-2390-828,5,3.496,0.72597254
0004-2663-770,5,14.15,0.801130742
0004-2675-750,24,130.9045833,0.74697219
0004-3008-000,4,794.5025,0.185940258
0004-3070-820,470,12.65319149,0.417154868
0004-3085-820,170,17.44517647,0.362517197
0004-5251-700,12,6.7725,0.761412575
0004-5493-750,55,28.03345455,0.744921652
0004-5496-760,1341,10.28609993,0.512998001
0004-5542-750,30,30.95333333,0.676631488
0004-5865-840,10,22.455,0.800356268
0005-0135-890,42,23.23309524,0.716568114
0005-0285-000,75,14.49533333,0.878038909
0005-0347-280,7,468.2571429,0.569738849
0005-0400-028,75,1.420133333,0.619002911
0005-0401-068,220,4.037363636,0.501373534
0005-0415-038,892,6.655986547,0.609136722
0005-0420-028,489,3.495316973,0.545363062
0005-0420-048,770,3.298883117,0.759410899
0005-0421-018,180,6.370722222,0.649333322
0005-0422-068,20,2.605,0.565451056
0005-0454-660,2,271.365,0.392054981
0005-0493-890,168,54.03375,0.661280923
0005-0541-040,3,1.49,0.794183445
0005-0983-018,210,3.005047619,0.721009096
0005-0985-058,223.8,4.304155496,0.505112793
0005-0986-068,195,2.175846154,0.358858328
0005-1089-800,13,2.281538462,0.843223196
0005-1187-040,1,86.34,0.115357887
0005-1299-060,65,18.49030769,0.636699477
0005-1309-000,62,4.493064516,0.713249812
0005-1312-900,10,12.621,0.309721892
0005-1342-910,60,5.828,0.542753375
0005-1477-120,1,479.05,0.199352886
0005-1499-300,4,239.135,0.493696029
0005-1500-300,25,278.12,0.138292823
0005-1516-808,33,3.973030303,0.279307452
0005-1562-000,1,836.73,0.142387628
0005-1580-808,180,46.66294444,0.72136349
0005-1583-300,6,290.4566667,0.301289923
0005-1604-008,90,4.187222222,0.598195569
0005-1609-020,1,3403.32,0.119468637
0005-1654-010,16,683.838125,0.569598434
0005-1655-000,28,575.0107143,0.232426725
0005-1656-600,1,316.95,0.186496293
0005-1683-900,25,2195.7584,0.448439865
0005-1691-010,4,10.8575,0.452221966
0005-1774-000,1,667.08,0.346390238
0005-1779-000,2,1084.44,0.338045443
0005-1786-000,4,2837.9325,0.494292059
0005-1794-000,2,79.78,0.402920531
0005-1794-010,1,151.36,0.357161734
0005-1818-000,2,49.17,0.786658532
0005-1818-010,6,45.48333333,0.617625504
0005-1818-030,3,34.42,0.372845245
0005-1818-040,5,34.418,0.372711953
0005-1818-090,3,72.22,0.310671098
0005-1818-240,8,30.11625,0.41651102
0005-1818-340,1,30.02,0.316455696
0005-3301-000,2,5.32,0.481203008
0005-3311-008,520,4.842365385,0.734169172
0005-3315-900,1,127.06,0.36667716
0005-3330-000,36,243.61,0.432940401
0005-3381-700,60,6.948166667,0.572884934
0005-3404-610,8000,0.53289,0.919746571
0005-3451-010,1,35.08,0.739167617
0005-3488-008,80,4.014875,0.59285781
0005-3498-610,1,0.36,0.888888889
0005-3539-900,1800,0.58755,0.773806485
0005-3578-010,4,226.9,0.389114147
0005-3764-900,1,48.97,-0.025934245
0005-3764-910,1,30.08,0.215093085
0005-3830-650,42,5.624761905,0.584871317
0005-3835-600,20,4.94,0.594534413
0005-3929-050,1,395.77,0.444904869
0005-3999-078,2250,8.180391111,0.076450026
0005-3999-088,850,18.71976471,0.358924195
0005-4033-160,1,78.93,0.582794882
0005-4063-000,1,135.05,0.738022954
0005-4111-090,1,148.59,0.242008211
0005-4127-900,36,127.2769444,0.55273605
0005-4180-800,15,373.6546667,0.609093602
0005-4186-280,1,674.35,0.647749685
0005-4297-050,1,990.18,0.379991517
0005-4297-070,4,1541.475,0.33784038
0005-4297-089,16,1118.81875,0.374580892
0005-4340-000,20,7.098,0.649126515
0005-4342-000,5,8.662,0.43869776
0005-4352-900,3,2.396666667,0.561891516
0005-4360-000,3,244.0033333,0.520143167
0005-4362-900,1,47.47,0.45692016
0005-4362-910,1,11.32,0.386042403
0005-4364-000,1,264.56,0.375755972
0005-4427-018,50,7.9606,0.538426752
0005-4485-900,2,2.08,0.605769231
0005-4504-000,5,14.55,0.711065292
0005-4505-000,10,19.769,0.628104608
0005-4506-000,10,40.017,0.757902891
0005-4541-008,60,3.963,0.586340315
0005-4575-610,500,0.3482,0.382136703
0005-4602-000,9,298.6177778,0.215210079
0005-4608-000,40,21.6465,0.570080613
0005-4612-808,129,3.322170543,0.341539108
0005-4640-008,115,17.79147826,0.53977967
0005-4640-018,30,22.82,0.597925796
0005-4640-028,10,37.438,0.520513916
0005-8000-460,96,104.4358333,-0.083686753
0005-8000-470,39,7.239230769,0.050933305
0005-8000-500,11,153.2609091,0.503983107
0005-8000-820,2,534.665,0.354951231
0005-8001-310,360,1.784722222,-0.041712062
0005-8001-340,132,3.895,0.115921733
0005-8001-350,20,7.1815,0.26157488
0005-8001-360,215,12.87046512,0.106680158
0006-3851-300,20,3.415,0.750366032
0006-3878-300,2,4.515,0.747508306
0006-4011-300,6,21.09166667,0.260608455
0006-4037-300,90,5.265555556,0.698100865
0006-4040-400,25,11.552,0.252493075
0006-4044-300,10,5.588,0.703113815
0006-4046-300,2,15.18,0.971673254
0006-4063-300,4,3.81,0.858267717
0006-4081-300,5,21.398,0.545191139
0006-4299-300,8,14.01,0.728675946
0007-1803-700,10,14.23,0.71813071
0007-1814-750,1,10.96,0.52919708
0007-1905-750,20,10.143,0.869072267
0007-1965-700,140,20.63714286,0.847431815
0007-1972-700,24,44.70125,0.595331972
0007-2025-710,10,46.613,0.587754489
0007-2184-850,10,6.928,0.533775982
0007-2208-700,20,6.29,0.817488076
0007-2210-700,40,2.685,0.437988827
0007-2211-700,93,4.767419355,0.433768636
0007-2212-700,20,13.285,0.649341362
0007-2219-700,40,8.23,0.285540705
0007-2253-750,180,5.201111111,0.650138859
0007-2253-770,460,5.694195652,0.741204812
0007-2314-750,6,18.9,0.505467372
0007-2401-750,5,2.95,0.391186441
0007-2413-750,140,4.652214286,0.95220402
0007-2452-750,20,8.37,0.287694146
0007-2481-750,40,3.03,0.753465347
0007-2507-820,120,3.64425,0.927374174
0007-2510-750,450,3.294533333,0.986529874
0007-2521-700,5,11.9,0.789747899
0007-2554-750,5,5.612,0.280470421
0007-2596-830,12,13.64,0.752565982
0007-2606-750,6,8.583333333,0.879417476
0007-2677-820,440,2.785204545,0.761858522
0007-2754-700,75,10.70213333,0.639137368
0007-2819-710,100,6.5811,0.78462567
0007-2833-700,7,110.0385714,0.6300518
0007-2888-750,140,2.7455,0.532897989
0007-2896-700,4,26.5,0.794056604
0007-2987-750,8,4.76,0.990808824
0007-2993-930,10,8.15,0.672760736
0007-3030-710,70,18.181,0.422741166
0007-3167-820,1,20.15,0.735980149
0007-3196-700,180,7.699611111,0.685662335
0007-3239-890,543,7.098158379,0.521212672
0011-6306-000,10,55.894,0.750456221
0013-0122-300,96,2.694375,0.918735019
0013-0250-300,100,2.725,0.775633028
0013-0275-300,14,0.778571429,0.944036697
0013-0278-300,26,1.141923077,0.908049848
0013-0279-300,72,2.798611111,0.566054591
0013-0289-300,40,4.9505,0.678921321
0013-0294-300,100,1.5863,0.9716321
0013-2707-300,1,182.23,0.52735554
0013-2710-300,1,515.65,0.779171919
0013-2845-300,12,88.96583333,0.84160586
0013-2870-630,2,1.12,0.732142857
0013-3030-700,28,10.75964286,0.799050685
0015-0063-060,23,101.9791304,0.437139739
0015-0063-120,16,633.391875,0.205264908
0015-0070-070,12,91.83166667,0.837628632
0015-0078-200,5,504.78,0.427857681
0015-0112-000,10,477.263,0.270775233
0015-0125-030,9,175.1355556,0.286203703
0015-1016-000,3,28.37666667,0.082227182
0015-1021-000,9,82.25222222,0.270725546
0018-0098-848,6495,2.454409546,0.618143085
0018-0101-848,410,2.44597561,0.661145735
0018-0201-308,168,42.41714286,0.536703208
0018-0346-880,2,21.36,0.147705993
0018-0438-880,11,8.332727273,0.571459743
0018-0530-260,60,73.65483333,0.635260415
0018-0531-260,24,65.21041667,0.432887128
0018-0585-848,380,2.100368421,0.350590122
0018-0743-260,14,29.96142857,0.598459925
0018-0821-300,2,13.93,0.354630294
0018-0905-880,1,19.48,0.224332649
0018-1025-860,16,8.80875,0.812260536
0018-1040-880,10,20.031,0.840547152
0018-1084-260,52,62.39634615,0.643978783
0018-1170-870,33,4.078484848,0.171112267
0018-1171-880,6,16.07,0.737087741
0018-1174-870,42,33.68095238,0.675547858
0018-1181-870,111,5.402252252,0.213908113
0018-1189-700,20,25.319,0.305778269
0018-1484-700,527,71.74903226,0.390390656
0018-1487-700,59,58.32644068,0.287740537
0018-1624-700,12,69.5625,0.587085954
0018-1637-700,149,11.70630872,0.69902651
0018-1678-700,13,46.01384615,0.276254639
0018-1681-700,415,37.87098795,0.286416279
0018-1884-800,25,43.6912,0.861033801
0018-1970-700,2,106.66,0.396399775
0018-2018-700,138,58.87775362,0.397393026
0018-2070-030,12,39.91416667,0.577781489
0018-2098-820,5,9.99,0.788788789
0018-2128-900,2,11.68,0.616866438
0018-2315-308,588,43.04207483,0.525452077
0018-2425-700,55,28.22727273,0.629024155
0018-2513-030,6,31.41833333,0.318285502
0018-2647-050,48,23.12333333,0.423733242
0018-2648-050,216,34.00759259,0.269894795
0018-2649-050,120,56.976,0.389737199
0018-2659-050,108,26.20472222,0.552837169
0018-2661-300,1,95.95,0.599374674
0018-2662-300,4,90.9775,0.612486604
0018-2675-308,642,48.11352025,0.389531119
0018-2825-700,10,51.25,0.576429268
0018-3050-820,35,14.56571429,0.861494704
0018-3100-820,40,19.534,0.681350466
0018-3149-820,20,8.0615,0.862990759
0018-3196-848,6295,2.466007943,0.620875935
0018-3197-828,55,20.63854545,0.035943336
0018-3329-750,80,5.98,0.785096154
0018-3347-820,12,9.535,0.592815941
0018-3473-750,9,27.30333333,0.744312864
0018-3615-300,2,806.975,0.452919855
0018-3644-828,23,25.30391304,0.037904431
0018-3666-300,164,5.433109756,0.503350056
0018-3737-800,10,19.01,0.659126775
0018-3749-170,10,2.09,0.871770335
0018-3817-300,81,8.091481481,0.726690163
0018-3955-300,2,109.245,0.905533434
0018-3958-300,13,205.8246154,0.750287773
0018-4052-820,30,8.5,0.802666667
0018-4119-300,6,137.53,0.895016845
0018-4240-860,2,12.365,0.608572584
0018-4526-300,2,226.04,0.831224562
0018-4631-300,1,123.61,0.596634576
0018-4715-030,10,42.367,0.569712276
0018-4810-700,102,46.39215686,0.646654691
0018-4811-730,5,31.13,0.150401542
0018-4834-820,10,10.35,0.775942029
0018-4875-880,1,10.59,0.793201133
0018-4944-820,29,8.154827586,0.897670092
0018-5287-820,10,13.102,0.561822623
0018-5318-300,1,3.35,0.737313433
0018-5324-820,5,10.622,0.814535869
0018-5447-880,9,13.64,0.656402737
0018-5573-860,1,11.52,0.633680556
0018-5809-880,13,111.2069231,0.539783771
0018-5810-880,4,123.8175,0.635734044
0018-5812-880,4,183.5925,0.760679222
0018-5814-880,3,67.34333333,0.634262238
0018-5884-700,45,66.54,0.779217179
0018-5885-700,15,42.43666667,0.659429738
0018-6031-828,100,40.4046,-0.037532855
0018-6033-828,25,74.8208,0.006896478
0018-6081-750,4,5.8,0.718534483
0018-6094-870,33,62.45030303,0.721829722
0018-6095-870,32,22.5146875,0.579246881
0018-6155-840,20,2.3825,0.80524659
0018-6191-630,1,8.62,0.682134571
0018-6276-820,5,4.13,0.820338983
0018-6286-890,1503,5.070425815,0.930016993
0018-6332-820,10,4.888,0.652209493
0018-6375-860,14,8.63,0.330077802
0018-6378-880,6,3.625,0.691494253
0018-6380-880,1,50.48,0.55110935
0018-6402-308,654,92.44324159,0.090257382
0018-6428-300,2,846.635,0.248489609
0018-6434-870,255,12.81588235,0.162717829
0018-6542-870,294,55.4864966,0.557409016
0018-6592-860,2,21.655,0.791503117
0018-6641-860,2,75.145,0.908044447
0018-6642-860,1,15.69,0.799235182
0018-6667-860,18,26.34333333,0.863511747
0018-6668-860,16,30.086875,0.871974906
0018-6669-820,1,11.31,0.658709107
0018-6691-300,80,4.986,0.779031288
0018-6699-700,4,68.0975,0.685891553
