"","Part","Curr.Vol","Curr.Price","Curr.Profit","Max.price","Min.price","get.variables(lprecH)"
"1","0001-1562-700",2,147.275,0.602512307,162.0025,132.5475,162.0025
"2","0001-1563-700",25,63.6116,0.134384295,69.97276,57.25044,69.97276
"3","0003-0083-800",5,3.686,0.761258817,4.0546,3.3174,4.0546
"4","0003-0267-800",1,24.83,0.492146597,27.313,22.347,22.347
"5","0003-0425-808",821,19.5374665,0.396931845,21.49121315,17.58371985,17.58371985
"6","0003-0702-810",4,2.83,0.698763251,3.113,2.547,3.113
"7","0003-3655-700",6,53.79,0.72696288,59.169,48.411,59.169
"8","0003-3656-700",18,49.65333333,0.759152345,54.618666663,44.687999997,54.618666663
"9","0003-3903-800",20,2.107,0.937826293,2.3177,1.8963,2.3177
"10","0004-1618-009",64,157.1284375,0.462691747,172.84128125,141.41559375,172.84128125
"11","0004-1659-880",320,7.81834375,0.621475137,8.600178125,7.036509375,8.600178125
"12","0004-1871-720",21,2.527142857,0.929150179,2.7798571427,2.2744285713,2.7798571427
"13","0004-2219-870",250,10.83384,0.549411843,11.917224,9.750456,11.917224
"14","0004-2390-828",5,3.496,0.72597254,3.8456,3.1464,3.8456
"15","0004-2663-770",5,14.15,0.801130742,15.565,12.735,15.565
"16","0004-2675-750",24,130.9045833,0.74697219,143.99504163,117.81412497,143.99504163
"17","0004-3008-000",4,794.5025,0.185940258,873.95275,715.05225,873.95275
"18","0004-3070-820",470,12.65319149,0.417154868,13.918510639,11.387872341,11.387872341
"19","0004-3085-820",170,17.44517647,0.362517197,19.189694117,15.700658823,19.189694117
"20","0004-5251-700",12,6.7725,0.761412575,7.44975,6.09525,7.44975
"21","0004-5493-750",55,28.03345455,0.744921652,30.836800005,25.230109095,30.836800005
"22","0004-5496-760",1341,10.28609993,0.512998001,11.314709923,9.257489937,9.257489937
"23","0004-5542-750",30,30.95333333,0.676631488,34.048666663,27.857999997,34.048666663
"24","0004-5865-840",10,22.455,0.800356268,24.7005,20.2095,24.7005
"25","0005-0135-890",42,23.23309524,0.716568114,25.556404764,20.909785716,25.556404764
"26","0005-0285-000",75,14.49533333,0.878038909,15.944866663,13.045799997,15.944866663
"27","0005-0347-280",7,468.2571429,0.569738849,515.08285719,421.43142861,515.08285719
"28","0005-0400-028",75,1.420133333,0.619002911,1.5621466663,1.2781199997,1.5621466663
"29","0005-0401-068",220,4.037363636,0.501373534,4.4410999996,3.6336272724,4.4410999996
"30","0005-0415-038",892,6.655986547,0.609136722,7.3215852017,5.9903878923,5.9903878923
"31","0005-0420-028",489,3.495316973,0.545363062,3.8448486703,3.1457852757,3.1457852757
"32","0005-0420-048",770,3.298883117,0.759410899,3.6287714287,2.9689948053,2.9689948053
"33","0005-0421-018",180,6.370722222,0.649333322,7.0077944442,5.7336499998,7.0077944442
"34","0005-0422-068",20,2.605,0.565451056,2.8655,2.3445,2.8655
"35","0005-0454-660",2,271.365,0.392054981,298.5015,244.2285,298.5015
"36","0005-0493-890",168,54.03375,0.661280923,59.437125,48.630375,59.437125
"37","0005-0541-040",3,1.49,0.794183445,1.639,1.341,1.639
"38","0005-0983-018",210,3.005047619,0.721009096,3.3055523809,2.7045428571,3.3055523809
"39","0005-0985-058",223.8,4.304155496,0.505112793,4.7345710456,3.8737399464,4.7345710456
"40","0005-0986-068",195,2.175846154,0.358858328,2.3934307694,1.9582615386,2.3934307694
"41","0005-1089-800",13,2.281538462,0.843223196,2.5096923082,2.0533846158,2.5096923082
"42","0005-1187-040",1,86.34,0.115357887,94.974,77.706,77.706
"43","0005-1299-060",65,18.49030769,0.636699477,20.339338459,16.641276921,20.339338459
"44","0005-1309-000",62,4.493064516,0.713249812,4.9423709676,4.0437580644,4.9423709676
"45","0005-1312-900",10,12.621,0.309721892,13.8831,11.3589,13.8831
"46","0005-1342-910",60,5.828,0.542753375,6.4108,5.2452,6.4108
