beer_id,beer_name,beer_style,brewery,review_profilename,review_overall,review_aroma,review_palate,review_taste,beer_abv
1,Abbey Monks Ale,Belgian Ale,Abbey Beverage Company,D.Kane,50,49,51,47,5.2
2,Abbey Monks Tripel,Abbey Tripel,Abbey Beverage Company,D.Kane,NA,NA,NA,NA,8
3,Abbey Monks Wit,Belgian White (Witbier),Abbey Beverage Company,D.Kane,23,19,21,17,5.1
4,Alameda Barn Owl Imperial Brown Ale,Brown Ale,Alameda Brewing Co.,D.Kane,74,81,83,79,7.9
5,Alameda Black Bear XX Stout,Foreign Stout,Alameda Brewing Co.,D.Kane,94,76,78,74,6.8
5,Alameda Black Bear XX Stout,Foreign Stout,Alameda Brewing Co.,S.Cooper,92,77,84,69,6.8
6,Alameda El Torero Organic IPA,India Pale Ale (IPA),Alameda Brewing Co.,D.Kane,74,43,45,41,7.2
7,Alameda Huckleberry Hound,Fruit Beer,Alameda Brewing Co.,D.Kane,NA,NA,NA,NA,6.5
8,Alameda Klickitat Pale Ale,American Pale Ale,Alameda Brewing Co.,D.Kane,75,67,69,65,5.3
9,Alameda Papa Noels Olde Ale,Old Ale,Alameda Brewing Co.,D.Kane,87,70,72,68,7.2
10,Alameda Yellow Wolf Imperial IPA,Imperial/Double IPA,Alameda Brewing Co.,D.Kane,95,64,66,62,8.2
11,Ale Industries Fall Down Brown,Spice/Herb/Vegetable,Ale Industries,D.Kane,NA,NA,NA,NA,8.25
12,Ale Industries Orange Shush,Belgian White (Witbier),Ale Industries,D.Kane,NA,NA,NA,NA,4.4
13,Ale Industries Ryed Piper,Specialty Grain,Ale Industries,D.Kane,93,96,98,94,5.75
14,American Brewing American Blonde,Golden Ale/Blond Ale,American Brewing Company,D.Kane,44,60,62,58,4.5
15,American Brewing Breakaway IPA,India Pale Ale (IPA),American Brewing Company,D.Kane,93,86,88,84,7.2
16,American Brewing Caboose Oatmeal Stout,Sweet Stout,American Brewing Company,D.Kane,91,81,83,79,7
17,Appalachian 666,English Strong Ale,Appalachian Brewing Company (PA),D.Kane,82,85,87,83,7.7
17,Appalachian 666,English Strong Ale,Appalachian Brewing Company (PA),L.Hofstader,90,90,83,87,7.7
18,Appalachian Broad Street Barley Wine,Barley Wine,Appalachian Brewing Company (PA),D.Kane,97,86,88,84,12.8
19,Appalachian Grinnin Grizzly,Spice/Herb/Vegetable,Appalachian Brewing Company (PA),D.Kane,33,37,39,35,5.7
20,Appalachian Hoppy Trails IPA,India Pale Ale (IPA),Appalachian Brewing Company (PA),D.Kane,73,42,44,40,6.2
21,Appalachian Jolly Scot Scottish Ale,Scottish Ale,Appalachian Brewing Company (PA),D.Kane,50,47,49,45,5.2
22,Appalachian Kipona Fest,Oktoberfest/Märzen,Appalachian Brewing Company (PA),D.Kane,49,76,78,74,5.2
23,Appalachian Mountain Lager,Dortmunder/Helles,Appalachian Brewing Company (PA),D.Kane,20,25,27,23,4.5
24,Appalachian Outta Focus,Imperial/Double IPA,Appalachian Brewing Company (PA),D.Kane,78,24,26,22,8
25,Appalachian Peregrine Pilsner,Bohemian Pilsener,Appalachian Brewing Company (PA),D.Kane,39,54,56,52,4.8
26,Appalachian Purist Pale Ale,American Pale Ale,Appalachian Brewing Company (PA),D.Kane,46,33,35,31,4.9
27,Appalachian Susquehanna Stout,Dry Stout,Appalachian Brewing Company (PA),D.Kane,89,95,97,93,4.6
28,Appalachian Trail Blaze Organic Brown,Brown Ale,Appalachian Brewing Company (PA),D.Kane,46,44,46,42,0
29,Appalachian Volks Weizenbock,Weizen Bock,Appalachian Brewing Company (PA),D.Kane,72,48,50,46,7.2
30,Appalachian Water Gap Wheat,Wheat Ale,Appalachian Brewing Company (PA),D.Kane,18,20,22,18,4.5
31,Bent River Mississippi Blonde,Golden Ale/Blond Ale,Bent River Brewing Company,D.Kane,12,6,8,4,4.29
32,Bent River Uncommon Stout,Sweet Stout,Bent River Brewing Company,D.Kane,97,96,98,94,6.5
33,Bison Organic Chocolate Stout,Stout,Bison Brewing Company,D.Kane,91,89,91,87,6.1
34,Bison Organic Gingerbread Ale,Spice/Herb/Vegetable,Bison Brewing Company,D.Kane,73,83,85,81,6
35,Bison Organic Honey Basil,Spice/Herb/Vegetable,Bison Brewing Company,D.Kane,57,68,70,66,6
36,Bison Organic Imperial Brown,Brown Ale,Bison Brewing Company,D.Kane,71,76,78,74,7
37,Bison Organic IPA,India Pale Ale (IPA),Bison Brewing Company,D.Kane,60,30,32,28,6.8
38,Bison Organic Pumpkin Ale,Spice/Herb/Vegetable,Bison Brewing Company,D.Kane,29,32,34,30,0
39,Blue Mountain Isabel Bourbon Aged Robust Porter,Porter,Blue Mountain Brewery,D.Kane,76,50,52,48,6
40,Blue Mountain Local Species,Belgian Ale,Blue Mountain Brewery,D.Kane,95,98,100,96,6.6
41,Blue Mountain Mandolin (Barrel House),Bière de Garde,Blue Mountain Brewery,D.Kane,85,89,91,87,9
42,Blue Mountain Rockfish Wheat Hefeweizen,German Hefeweizen,Blue Mountain Brewery,D.Kane,74,95,97,93,5.4
43,Blue Mountain Steel Wheels ESB,Premium Bitter/ESB,Blue Mountain Brewery,D.Kane,76,90,92,88,6.5
44,Blue Mountain ÜberPils Imperial Pilsener,Strong Pale Lager/Imperial Pils,Blue Mountain Brewery,D.Kane,84,93,95,91,7.6
45,Blue Point Blueberry Ale,Fruit Beer,Blue Point Brewing,D.Kane,49,85,87,83,4.6
46,Blue Point Hoptical Illusion,India Pale Ale (IPA),Blue Point Brewing,D.Kane,90,78,80,76,6.8
47,Blue Point No Apologies Imperial IPA,Imperial/Double IPA,Blue Point Brewing,D.Kane,93,52,54,50,10
48,Blue Point Oatmeal Stout,Sweet Stout,Blue Point Brewing,D.Kane,88,72,74,70,5.2
49,Blue Point Oktoberfest,Oktoberfest/Märzen,Blue Point Brewing,D.Kane,49,76,78,74,5.5
