MLS,Location,Price,Bedrooms,Bathrooms,Size,Price/SQ.Ft,Status
136282,Santa Maria-Orcutt,109900,3,1,1249,87.99,Short Sale
137036,Santa Maria-Orcutt,192900,4,2,1603,120.34,Short Sale
137090,Santa Maria-Orcutt,215000,3,2,1450,148.28,Short Sale
138053,Santa Maria-Orcutt,350000,3,2,1750,200,Short Sale
138730,Santa Maria-Orcutt,249000,3,2,1400,177.86,Short Sale
139427,Santa Maria-Orcutt,235900,3,2,1400,168.5,Short Sale
139461,Santa Maria-Orcutt,348000,3,2,1600,217.5,Short Sale
139918,Los Alamos,399000,4,2,1850,215.68,Short Sale
140113,Santa Maria-Orcutt,110000,2,1,1000,110,Short Sale
140395,Santa Maria-Orcutt,200000,3,2,1139,175.59,Short Sale
140460,Santa Maria-Orcutt,134900,3,1,1080,124.91,Short Sale
140703,Santa Maria-Orcutt,250000,4,3,2000,125,Short Sale
140731,Santa Maria-Orcutt,239950,4,2,1348,178,Short Sale
141188,Santa Maria-Orcutt,170000,3,2,1280,132.81,Short Sale
141212,Santa Maria-Orcutt,285000,3,2,2400,118.75,Short Sale
141232,Santa Maria-Orcutt,279000,3,3,1700,164.12,Short Sale
141529,Santa Maria-Orcutt,219000,3,2,1600,136.88,Short Sale
141541,Santa Maria-Orcutt,155000,3,2,1050,147.62,Short Sale
141869,Guadalupe,95000,2,1,797,119.2,Short Sale
142216,Santa Maria-Orcutt,140000,2,2,1100,127.27,Short Sale
142442,Santa Maria-Orcutt,360000,4,3,2351,153.13,Short Sale
142539,Santa Maria-Orcutt,250000,4,2,1206,207.3,Short Sale
142585,Santa Maria-Orcutt,559000,3,3,2628,212.71,Short Sale
143170,Santa Maria-Orcutt,279000,4,3,2580,108.14,Short Sale
143178,Santa Maria-Orcutt,375000,4,2,1963,191.03,Short Sale
143217,Santa Maria-Orcutt,330000,3,3,1900,173.68,Short Sale
143252,Santa Maria-Orcutt,199000,3,3,1450,137.24,Short Sale
143255,Santa Maria-Orcutt,165000,2,2,1000,165,Short Sale
143507,Santa Maria-Orcutt,255000,3,2,1218,209.36,Short Sale
144312,Santa Maria-Orcutt,499000,3,4,2250,221.78,Short Sale
144370,Santa Maria-Orcutt,239000,3,3,1800,132.78,Short Sale
144380,Santa Maria-Orcutt,195000,3,2,1218,160.1,Short Sale
144896,Santa Maria-Orcutt,275000,4,3,1877,146.51,Short Sale
145138,Santa Maria-Orcutt,140000,3,2,1080,129.63,Short Sale
145448,Santa Maria-Orcutt,167900,3,2,1296,129.55,Foreclosure
145726,Santa Maria-Orcutt,119000,1,1,900,132.22,Short Sale
145745,Santa Maria-Orcutt,245000,4,2,1482,165.32,Short Sale
145789,Santa Maria-Orcutt,259900,3,2,1726,150.58,Short Sale
146040,Santa Maria-Orcutt,329700,4,2,1367,241.19,Short Sale
146130,Santa Maria-Orcutt,149000,3,2,1040,143.27,Short Sale
146149,Santa Maria-Orcutt,195000,2,1,811,240.44,Short Sale
146310,Santa Maria-Orcutt,129900,3,1,1042,124.66,Short Sale
146537,Santa Maria-Orcutt,255900,3,2,1440,177.71,Foreclosure
146544,Santa Maria-Orcutt,148900,5,2,1064,139.94,Short Sale
146597,Santa Maria-Orcutt,189900,3,2,1472,129.01,Foreclosure
146667,Santa Maria-Orcutt,232600,3,3,1582,147.03,Short Sale
146888,Santa Maria-Orcutt,225000,4,3,1940,115.98,Short Sale
146986,Santa Maria-Orcutt,161900,3,2,1200,134.92,Short Sale
147094,Santa Maria-Orcutt,249999,3,3,2013,124.19,Short Sale
147167,Santa Maria-Orcutt,208000,2,1,1267,164.17,Short Sale
147214,Guadalupe,135000,3,1,1100,122.73,Short Sale
147570,Santa Maria-Orcutt,399000,4,3,2800,142.5,Short Sale
147586,Santa Maria-Orcutt,385000,3,2,2000,192.5,Short Sale
147620,Santa Maria-Orcutt,269000,3,3,1780,151.12,Short Sale
148168,Santa Maria-Orcutt,29000,2,2,1500,19.33,Foreclosure
148289,Santa Maria-Orcutt,259000,4,3,1857,139.47,Short Sale
148472,Santa Maria-Orcutt,337000,4,2,2000,168.5,Short Sale
148624,Guadalupe,94000,2,2,797,117.94,Foreclosure
148736,Santa Maria-Orcutt,180000,3,2,1280,140.63,Short Sale
148961,Los Alamos,350000,3,2,1582,221.24,Short Sale
149024,Santa Maria-Orcutt,275000,3,2,1424,193.12,Short Sale
149275,Lompoc,199000,4,2,1527,130.32,Foreclosure
149482,Santa Maria-Orcutt,242500,3,2,1218,199.1,Foreclosure
149514,Santa Maria-Orcutt,259900,3,3,1300,199.92,Short Sale
149604,Santa Maria-Orcutt,310000,4,3,2014,153.92,Short Sale
149615,Santa Maria-Orcutt,220000,2,2,1541,142.76,Short Sale
149633,Santa Maria-Orcutt,324000,5,4,2400,135,Short Sale
149791,Santa Maria-Orcutt,74900,2,2,1014,73.87,Short Sale
149813,Santa Maria-Orcutt,751900,3,3,3400,221.15,Foreclosure
149829,Santa Maria-Orcutt,295000,3,2,1386,212.84,Short Sale
149841,Santa Maria-Orcutt,197000,3,2,1376,143.17,Short Sale
149877,Santa Maria-Orcutt,132000,3,1,1050,125.71,Short Sale
149890,Santa Maria-Orcutt,290000,5,3,2500,116,Short Sale
149948,Santa Maria-Orcutt,249000,4,3,1963,126.85,Short Sale
149956,Santa Maria-Orcutt,235000,3,3,1541,152.5,Short Sale
150256,Lompoc,275000,3,2,1700,161.76,Short Sale
150283,Santa Maria-Orcutt,105000,1,1,731,143.64,Short Sale
150290,Santa Maria-Orcutt,179999,3,2,1086,165.74,Short Sale
150294,Santa Maria-Orcutt,219000,3,2,1131,193.63,Short Sale
150335,Santa Maria-Orcutt,165000,2,1,1100,150,Short Sale
150360,Santa Maria-Orcutt,179000,3,2,1398,128.04,Short Sale
150424,Santa Maria-Orcutt,235000,4,2,1860,126.34,Short Sale
150477,Santa Maria-Orcutt,199000,3,2,1269,156.82,Short Sale
150482,Santa Maria-Orcutt,209000,3,2,1275,163.92,Short Sale
150493,Lompoc,186900,3,1,912,204.93,Foreclosure
150501,Santa Maria-Orcutt,240000,4,2,1460,164.38,Short Sale
150543,Santa Maria-Orcutt,215000,4,2,1750,122.86,Short Sale
150556,Santa Maria-Orcutt,399900,4,4,3050,131.11,Short Sale
150611,Santa Maria-Orcutt,180000,2,2,1082,166.36,Short Sale
150669,Santa Maria-Orcutt,154000,2,2,1100,140,Short Sale
150746,Santa Maria-Orcutt,437500,3,3,2523,173.4,Short Sale
150751,Santa Maria-Orcutt,299900,3,3,2511,119.43,Short Sale
150844,Santa Maria-Orcutt,248000,3,2,1400,177.14,Short Sale
150857,Santa Maria-Orcutt,209000,3,3,1494,139.89,Short Sale
150980,Santa Maria-Orcutt,185000,3,2,1300,142.31,Short Sale
150981,Santa Maria-Orcutt,165000,3,2,1200,137.5,Short Sale
151000,Santa Maria-Orcutt,175000,3,2,1600,109.38,Short Sale
151005,Lompoc,180000,4,2,1332,135.14,Short Sale
151009,Santa Maria-Orcutt,78000,2,2,1680,46.43,Short Sale
151080,Santa Maria-Orcutt,641900,3,3,2714,236.51,Foreclosure
151107,Santa Maria-Orcutt,299000,2,2,1410,212.06,Short Sale
151126,Santa Maria-Orcutt,229900,3,3,1900,121,Short Sale
151213,Santa Maria-Orcutt,160000,2,3,1200,133.33,Short Sale
151227,Santa Maria-Orcutt,299000,3,3,2400,124.58,Short Sale
151232,Santa Maria-Orcutt,270000,4,2,1460,184.93,Short Sale
151249,Santa Maria-Orcutt,295000,3,3,1800,163.89,Short Sale
151293,Santa Maria-Orcutt,165000,3,2,1110,148.65,Short Sale
151296,Santa Maria-Orcutt,157900,3,2,1075,146.88,Short Sale
151373,Santa Maria-Orcutt,233000,4,2,1650,141.21,Short Sale
151395,Santa Maria-Orcutt,109900,2,2,1200,91.58,Foreclosure
151441,Santa Maria-Orcutt,209900,2,2,1113,188.59,Short Sale
151498,Santa Maria-Orcutt,179000,3,2,1300,137.69,Short Sale
151521,Lompoc,282000,3,3,1736,162.44,Short Sale
151534,Santa Maria-Orcutt,130000,3,2,1850,70.27,Short Sale
151636,Santa Maria-Orcutt,205000,3,2,1146,178.88,Short Sale
151640,Santa Maria-Orcutt,180900,2,2,1100,164.45,Short Sale
151690,Santa Maria-Orcutt,99999,2,3,1800,55.56,Short Sale
151700,Santa Maria-Orcutt,445000,5,3,3307,134.56,Foreclosure
151732,Santa Maria-Orcutt,210000,4,2,1102,190.56,Short Sale
151772,Santa Maria-Orcutt,199900,3,2,1215,164.53,Short Sale
151805,Santa Maria-Orcutt,225000,3,2,1600,140.63,Short Sale
151824,Santa Maria-Orcutt,120000,3,2,1686,71.17,Short Sale
151854,Santa Maria-Orcutt,300000,4,2,1257,238.66,Short Sale
151864,Santa Maria-Orcutt,225000,3,2,1144,196.68,Short Sale
151871,Santa Maria-Orcutt,399000,4,3,2300,173.48,Short Sale
151876,Lompoc,165000,3,2,1144,144.23,Short Sale
151903,Santa Maria-Orcutt,199900,3,2,1238,161.47,Short Sale
151925,Santa Maria-Orcutt,222900,2,2,1086,205.25,Short Sale
151940,Santa Maria-Orcutt,170500,4,2,1361,125.28,Short Sale
