country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Afghanistan	1997	22227415	Asia	41.763	635.341351
Afghanistan	2002	25268405	Asia	42.129	726.7340548
Afghanistan	2007	31889923	Asia	43.828	974.5803384
Albania	1952	1282697	Europe	55.23	1601.056136
Albania	1957	1476505	Europe	59.28	1942.284244
Albania	1962	1728137	Europe	64.82	2312.888958
Albania	1967	1984060	Europe	66.22	2760.196931
Albania	1972	2263554	Europe	67.69	3313.422188
Albania	1977	2509048	Europe	68.93	3533.00391
Albania	1982	2780097	Europe	70.42	3630.880722
Albania	1987	3075321	Europe	72	3738.932735
Albania	1992	3326498	Europe	71.581	2497.437901
Albania	1997	3428038	Europe	72.95	3193.054604
Albania	2002	3508512	Europe	75.651	4604.211737
Albania	2007	3600523	Europe	76.423	5937.029526
Algeria	1952	9279525	Africa	43.077	2449.008185
Algeria	1957	10270856	Africa	45.685	3013.976023
Algeria	1962	11000948	Africa	48.303	2550.81688
Algeria	1967	12760499	Africa	51.407	3246.991771
Algeria	1972	14760787	Africa	54.518	4182.663766
Algeria	1977	17152804	Africa	58.014	4910.416756
Algeria	1982	20033753	Africa	61.368	5745.160213
Algeria	1987	23254956	Africa	65.799	5681.358539
Algeria	1992	26298373	Africa	67.744	5023.216647
Algeria	1997	29072015	Africa	69.152	4797.295051
Algeria	2002	31287142	Africa	70.994	5288.040382
Algeria	2007	33333216	Africa	72.301	6223.367465
Angola	1952	4232095	Africa	30.015	3520.610273
Angola	1957	4561361	Africa	31.999	3827.940465
Angola	1962	4826015	Africa	34	4269.276742
Angola	1967	5247469	Africa	35.985	5522.776375
Angola	1972	5894858	Africa	37.928	5473.288005
Angola	1977	6162675	Africa	39.483	3008.647355
Angola	1982	7016384	Africa	39.942	2756.953672
Angola	1987	7874230	Africa	39.906	2430.208311
Angola	1992	8735988	Africa	40.647	2627.845685
Angola	1997	9875024	Africa	40.963	2277.140884
Angola	2002	10866106	Africa	41.003	2773.287312
Angola	2007	12420476	Africa	42.731	4797.231267
Argentina	1952	17876956	Americas	62.485	5911.315053
Argentina	1957	19610538	Americas	64.399	6856.856212
Argentina	1962	21283783	Americas	65.142	7133.166023
Argentina	1967	22934225	Americas	65.634	8052.953021
Argentina	1972	24779799	Americas	67.065	9443.038526
Argentina	1977	26983828	Americas	68.481	10079.02674
Argentina	1982	29341374	Americas	69.942	8997.897412
Argentina	1987	31620918	Americas	70.774	9139.671389
Argentina	1992	33958947	Americas	71.868	9308.41871
Argentina	1997	36203463	Americas	73.275	10967.28195
Argentina	2002	38331121	Americas	74.34	8797.640716
Argentina	2007	40301927	Americas	75.32	12779.37964
Armenia	1992	3378331	FSU	68.663	1442.937796
Armenia	1997	3059000	FSU	70.377	1791.34719
Armenia	2002	3013818	FSU	71.403	2692.304039
Armenia	2007	2971650	FSU	71.965	4942.543911
Aruba	1972	59461	Americas	70.941	4939.758007
Aruba	1977	59412	Americas	71.83	7390.359942
Aruba	1982	61569	Americas	74.116	10874.91495
Aruba	1987	65415	Americas	74.494	17674.3389
Aruba	1992	67174	Americas	74.108	25120.54961
Aruba	1997	68341	Americas	73.011	26483.66862
Aruba	2002	70441	Americas	73.451	26467.87062
Aruba	2007	72194	Americas	74.239	27230.67521
Australia	1950	8267337	Oceania	69.02	10031.12138
Australia	1951	8510600	Oceania	68.72	10160.73672
Australia	1952	8691212	Oceania	69.12	10039.59564
Australia	1953	8857924	Oceania	69.7	10157.91298
Australia	1954	9064017	Oceania	69.85	10544.08738
Australia	1955	9277087	Oceania	70.17	10864.61774
Australia	1956	9500606	Oceania	70.05	10974.12837
Australia	1957	9712569	Oceania	70.33	10949.64959
Australia	1958	9915267	Oceania	70.88	11240.95886
Australia	1959	10131729	Oceania	70.45	11678.07069
Australia	1960	10361273	Oceania	70.89	11897.96372
Australia	1961	10598814	Oceania	71.16	11711.50002
Australia	1962	10794968	Oceania	70.93	12217.22686
Australia	1963	11001483	Oceania	70.99	12722.21702
Australia	1964	11218304	Oceania	70.65	13329.89726
Australia	1965	11439384	Oceania	70.98	13739.92688
Australia	1966	11655083	Oceania	70.82	13860.95806
Australia	1967	11872264	Oceania	71.1	14526.12465
Australia	1968	12101660	Oceania	70.73	15088.55836
Australia	1969	12379384	Oceania	71.14	15647.10938
Australia	1970	12660160	Oceania	70.81	16273.14214
Australia	1971	12937200	Oceania	71.41	16633.1259
Australia	1972	13177000	Oceania	71.93	16788.62948
Australia	1973	13380400	Oceania	72.14	17429.71805
Australia	1974	13599100	Oceania	71.89	17574.58167
Australia	1975	13771400	Oceania	72.84	17824.57038
Australia	1976	13915500	Oceania	72.88	18351.06793
Australia	1977	14074100	Oceania	73.49	18334.19751
Australia	1978	14248600	Oceania	73.88	18635.0381
Australia	1979	14421900	Oceania	74.44	19380.63562
Australia	1980	14615900	Oceania	74.6	19505.55452
Australia	1981	14923260	Oceania	74.97	19841.87946
Australia	1982	15184200	Oceania	74.74	19477.00928
Australia	1983	15393500	Oceania	75.55	19214.56115
Australia	1984	15579400	Oceania	76.02	20295.25294
Australia	1985	15788300	Oceania	75.46	21040.4946
Australia	1986	16018350	Oceania	76.13	21168.81051
Australia	1987	16257249	Oceania	76.32	21888.88903
Australia	1988	16520206	Oceania	76.36	22508.19078
Australia	1989	16780235	Oceania	76.46	23133.97635
Australia	1990	17022133	Oceania	77.06	23151.89034
Australia	1991	17257526	Oceania	77.55	22893.85675
Australia	1992	17481977	Oceania	77.56	23424.76683
Australia	1993	17688687	Oceania	78.1	24053.10102
Australia	1994	17892557	Oceania	78.1	24780.17241
Australia	1995	18116171	Oceania	78.49	25518.71544
Australia	1996	18348078	Oceania	78.56	26151.13247
Australia	1997	18565243	Oceania	78.83	26997.93657
Australia	1998	18768789	Oceania	79.33	28169.15341
Australia	1999	18968247	Oceania	79.58	28983.2672
Australia	2000	19164620	Oceania	79.99	29241.5145
Australia	2001	19357594	Oceania	80.35	30043.24277
Australia	2002	19546792	Oceania	80.37	30687.75473
Australia	2003	19731984	Oceania	80.78	31634.24243
Australia	2004	19913144	Oceania	81.15	32098.50615
Australia	2007	20434176	Oceania	81.235	34435.36744
Austria	1950	6935100	Europe	64.88	5733.098114
Austria	1951	6935451	Europe	65.26	6124.928282
Austria	1952	6927772	Europe	66.8	6137.076492
Austria	1953	6932483	Europe	67.29	6399.786948
