country	year	gdpPercap
Afghanistan	1950	757.3187954
Afghanistan	1951	766.7521974
Afghanistan	1952	779.4453145
Afghanistan	1953	812.8562795
Afghanistan	1954	815.3595213
Afghanistan	1955	816.414838
Afghanistan	1956	837.0669354
Afghanistan	1957	820.8530296
Afghanistan	1958	849.7400695
Afghanistan	1959	856.2288434
Afghanistan	1960	868.4982226
Afghanistan	1961	857.3586549
Afghanistan	1962	853.10071
Afghanistan	1963	849.4447177
Afghanistan	1964	846.2672818
Afghanistan	1965	845.2206617
Afghanistan	1966	833.6140562
Afghanistan	1967	836.1971382
Afghanistan	1968	845.0799786
Afghanistan	1969	837.6207743
Afghanistan	1970	833.3159234
Afghanistan	1971	773.6951378
Afghanistan	1972	739.9811058
Afghanistan	1973	803.4865369
Afghanistan	1974	825.5800312
Afghanistan	1975	846.4424025
Afghanistan	1976	866.1924806
Afghanistan	1977	786.11336
Afghanistan	1978	827.0921548
Afghanistan	1979	809.0741143
Afghanistan	1980	810.4316249
Afghanistan	1981	896.8607464
Afghanistan	1982	978.0114388
Afghanistan	1983	1013.132736
Afghanistan	1984	994.571244
Afghanistan	1985	961.9241848
Afghanistan	1986	1030.888067
Afghanistan	1987	852.3959448
Afghanistan	1988	770.010794
Afghanistan	1989	751.441274
Afghanistan	1990	709.5049419
Afghanistan	1991	705.4457987
Afghanistan	1992	649.3413952
Afghanistan	1993	558.8532414
Afghanistan	1994	500.4494473
Afghanistan	1995	601.8742099
Afghanistan	1996	617.910636
Afghanistan	1997	635.341351
Afghanistan	1998	653.2968533
Afghanistan	1999	670.9872209
Afghanistan	2000	663.9098777
Afghanistan	2001	595.038741
Afghanistan	2002	726.7340548
Afghanistan	2003	785.1275711
Afghanistan	2004	804.7174577
Afghanistan	2005	874
Afghanistan	2006	901.8750023
Afghanistan	2007	974.5803384
Albania	1950	1532.353932
Albania	1951	1598.49275
Albania	1952	1601.056136
Albania	1953	1665.794737
Albania	1954	1714.688776
Albania	1955	1807.130587
Albania	1956	1825.302487
Albania	1957	1942.284244
Albania	1958	2029.789585
Albania	1959	2113.346606
Albania	1960	2220.342696
Albania	1961	2238.787437
Albania	1962	2312.888958
Albania	1963	2391.779616
Albania	1964	2473.6971
Albania	1965	2563.945574
Albania	1966	2660.074837
Albania	1967	2760.196931
Albania	1968	2859.812013
Albania	1969	2956.93736
Albania	1970	3066.022933
Albania	1971	3188.577281
Albania	1972	3313.422188
Albania	1973	3478.459169
Albania	1974	3491.426597
Albania	1975	3503.591742
Albania	1976	3517.615627
Albania	1977	3533.00391
Albania	1978	3549.264947
Albania	1979	3566.56881
Albania	1980	3591.755603
Albania	1981	3611.02554
Albania	1982	3630.880722
Albania	1983	3652.076174
Albania	1984	3672.867539
Albania	1985	3692.089631
Albania	1986	3715.549706
Albania	1987	3738.932735
Albania	1988	3762.606544
Albania	1989	3790.981701
Albania	1990	3824.847995
Albania	1991	2717.56829
Albania	1992	2497.437901
Albania	1993	2716.646193
Albania	1994	2918.816698
Albania	1995	3285.534735
Albania	1996	3569.594506
Albania	1997	3193.054604
Albania	1998	3584.773197
Albania	1999	3928.275138
Albania	2000	4195.210368
Albania	2001	4476.045166
Albania	2002	4604.211737
Albania	2003	4855.210024
Albania	2004	5115.252837
Albania	2005	5369
Albania	2006	5632.532084
Albania	2007	5937.029526
Algeria	1950	2429.213704
Algeria	1951	2397.531111
Algeria	1952	2449.008185
Algeria	1953	2436.33995
Algeria	1954	2557.818507
Algeria	1955	2572.474443
Algeria	1956	2764.423629
Algeria	1957	3013.976023
Algeria	1958	3059.576865
Algeria	1959	3548.416022
Algeria	1960	3716.788679
Algeria	1961	3202.96262
Algeria	1962	2550.81688
Algeria	1963	3146.57863
Algeria	1964	3214.436609
Algeria	1965	3327.99122
Algeria	1966	3070.753392
Algeria	1967	3246.991771
Algeria	1968	3519.794116
Algeria	1969	3747.744528
Algeria	1970	4003.57359
Algeria	1971	3559.349909
Algeria	1972	4182.663766
Algeria	1973	4194.603349
Algeria	1974	4320.959308
Algeria	1975	4489.034986
Algeria	1976	4642.623411
Algeria	1977	4910.416756
Algeria	1978	5373.166288
Algeria	1979	5682.033708
Algeria	1980	5610.196305
Algeria	1981	5573.379591
Algeria	1982	5745.160213
Algeria	1983	5853.656218
Algeria	1984	5986.542038
Algeria	1985	6107.181013
Algeria	1986	5876.048095
Algeria	1987	5681.358539
Algeria	1988	5415.986264
Algeria	1989	5457.745569
Algeria	1990	5244.509612
Algeria	1991	5061.303464
Algeria	1992	5023.216647
Algeria	1993	4800.317117
Algeria	1994	4652.841153
Algeria	1995	4732.433
Algeria	1996	4824.212475
Algeria	1997	4797.295051
Algeria	1998	4965.228361
Algeria	1999	5048.615566
Algeria	2000	5098.853564
Algeria	2001	5156.447405
Algeria	2002	5288.040382
Algeria	2003	5576.851564
Algeria	2004	5790.967692
Algeria	2005	6011
Algeria	2006	6039.914603
Algeria	2007	6223.367465
American Samoa	1950	4465.14474
American Samoa	1973	6284.325892
American Samoa	1990	6497.344724
American Samoa	2001	7776.46162
American Samoa	2005	9617.821726
American Samoa	2006	10059.26592
Andorra	1970	32386.85136
Andorra	1971	32191.43469
Andorra	1972	33080.00823
Andorra	1973	33951.78928
Andorra	1974	34247.09088
Andorra	1975	33016.17231
Andorra	1976	32840.79417
Andorra	1977	32632.63518
Andorra	1978	32006.04314
Andorra	1979	30833.01441
Andorra	1980	30183.8586
Andorra	1981	28684.57514
Andorra	1982	27523.35722
Andorra	1983	26568.20208
Andorra	1984	25820.29864
Andorra	1985	25465.80492
Andorra	1986	25621.53728
Andorra	1987	26576.0008
Andorra	1988	27517.71361
Andorra	1989	28281.89339
Andorra	1990	28511.18326
Andorra	1991	28091.12248
Andorra	1992	27041.01712
Andorra	1993	25514.03852
Andorra	1994	25092.4327
Andorra	1995	25063.76906
Andorra	1996	25839.06506
Andorra	1997	28057.47136
Andorra	1998	28982.13822
Andorra	1999	30144.97166
Andorra	2000	30265.94105
Andorra	2001	33293.00053
Andorra	2002	34485.48352
Andorra	2003	35925.27828
Andorra	2004	37427.60632
Andorra	2005	39002.40983
Andorra	2006	41235.82556
Andorra	2007	41613.25729
Angola	1950	3363.021769
Angola	1951	3440.90139
Angola	1952	3520.610273
Angola	1953	3598.805544
Angola	1954	3450.820228
Angola	1955	3672.081573
Angola	1956	3549.035343
Angola	1957	3827.940465
Angola	1958	3966.415044
Angola	1959	3917.761174
Angola	1960	4006.206302
Angola	1961	4463.825923
Angola	1962	4269.276742
Angola	1963	4413.596399
Angola	1964	4826.488113
Angola	1965	5102.210214
Angola	1966	5308.136181
Angola	1967	5522.776375
Angola	1968	5346.627499
Angola	1969	5408.119396
Angola	1970	5651.882867
Angola	1971	5526.211396
Angola	1972	5473.288005
Angola	1973	5722.023726
Angola	1974	5470.212038
Angola	1975	3430.848722
Angola	1976	3050.315826
Angola	1977	3008.647355
Angola	1978	3070.81649
Angola	1979	3064.88794
Angola	1980	3074.745543
Angola	1981	2953.406726
Angola	1982	2756.953672
Angola	1983	2584.557046
Angola	1984	2527.467914
Angola	1985	2492.832132
Angola	1986	2220.605332
Angola	1987	2430.208311
Angola	1988	2728.529902
Angola	1989	2730.558884
Angola	1990	2777.417631
Angola	1991	2730.854238
Angola	1992	2627.845685
Angola	1993	1869.923753
Angola	1994	1851.44627
Angola	1995	1989.024681
Angola	1996	2157.352097
Angola	1997	2277.140884
Angola	1998	2384.479259
Angola	1999	2417.181021
Angola	2000	2446.645873
Angola	2001	2479.690229
Angola	2002	2773.287312
Angola	2003	2785.393957
Angola	2004	3007.114595
Angola	2005	3533
Angola	2006	4072.119809
Angola	2007	4797.231267
Anguilla	1970	5689.456544
Anguilla	1971	5475.317858
Anguilla	1972	6031.553821
Anguilla	1973	6214.206074
Anguilla	1974	6148.684702
Anguilla	1975	6318.478078
Anguilla	1976	6393.506925
Anguilla	1977	6391.276424
Anguilla	1978	6858.385165
Anguilla	1979	7507.028692
Anguilla	1980	7866.618683
Anguilla	1981	8151.641951
Anguilla	1982	8050.178974
Anguilla	1983	8015.966179
Anguilla	1984	8263.64712
Anguilla	1985	8975.705788
Anguilla	1986	9911.093649
Anguilla	1987	10604.34808
Anguilla	1988	11605.74418
Anguilla	1989	12220.76911
Anguilla	1990	12335.01446
Anguilla	1991	11709.28709
Anguilla	1992	12197.8265
Anguilla	1993	12770.83476
Anguilla	1994	13477.41589
Anguilla	1995	12888.09377
Anguilla	1996	12957.80654
Anguilla	1997	14096.12827
Anguilla	1998	15298.76883
Anguilla	1999	15611.94614
Anguilla	2000	15551.72564
Anguilla	2001	15678.67207
Anguilla	2002	15179.26005
Anguilla	2003	15300.11154
Anguilla	2004	18278.82118
Anguilla	2005	19478.90097
Anguilla	2006	23331.66199
Anguilla	2007	23717.94445
Antigua and Barbuda	1970	3948.938441
Antigua and Barbuda	1971	4138.469595
Antigua and Barbuda	1972	4333.744533
Antigua and Barbuda	1973	4597.830045
Antigua and Barbuda	1974	4676.114805
Antigua and Barbuda	1975	4382.066446
Antigua and Barbuda	1976	3991.804988
Antigua and Barbuda	1977	4319.593971
Antigua and Barbuda	1978	4535.035996
Antigua and Barbuda	1979	5105.690392
Antigua and Barbuda	1980	5532.031435
Antigua and Barbuda	1981	5882.22466
Antigua and Barbuda	1982	5973.220567
Antigua and Barbuda	1983	6453.088079
Antigua and Barbuda	1984	7024.111407
Antigua and Barbuda	1985	7693.923848
Antigua and Barbuda	1986	8513.743698
Antigua and Barbuda	1987	9474.137689
Antigua and Barbuda	1988	10425.2269
Antigua and Barbuda	1989	11211.43886
Antigua and Barbuda	1990	11573.56144
Antigua and Barbuda	1991	11751.60226
Antigua and Barbuda	1992	11677.35361
Antigua and Barbuda	1993	12036.98141
Antigua and Barbuda	1994	12477.54869
Antigua and Barbuda	1995	11650.35609
