continent	country	year	lifeExp
Asia	Afghanistan	1952	28.801
Asia	Afghanistan	1957	30.332
Asia	Afghanistan	1962	31.997
Asia	Afghanistan	1967	34.02
Asia	Afghanistan	1972	36.088
Asia	Afghanistan	1977	38.438
Asia	Afghanistan	1982	39.854
Asia	Afghanistan	1987	40.822
Asia	Afghanistan	1992	41.674
Asia	Afghanistan	1997	41.763
Asia	Afghanistan	2002	42.129
Asia	Afghanistan	2007	43.828
Europe	Albania	1952	55.23
Europe	Albania	1957	59.28
Europe	Albania	1962	64.82
Europe	Albania	1967	66.22
Europe	Albania	1972	67.69
Europe	Albania	1977	68.93
Europe	Albania	1982	70.42
Europe	Albania	1987	72
Europe	Albania	1992	71.581
Europe	Albania	1997	72.95
Europe	Albania	2002	75.651
Europe	Albania	2007	76.423
Africa	Algeria	1952	43.077
Africa	Algeria	1957	45.685
Africa	Algeria	1962	48.303
Africa	Algeria	1967	51.407
Africa	Algeria	1972	54.518
Africa	Algeria	1977	58.014
Africa	Algeria	1982	61.368
Africa	Algeria	1987	65.799
Africa	Algeria	1992	67.744
Africa	Algeria	1997	69.152
Africa	Algeria	2002	70.994
Africa	Algeria	2007	72.301
Africa	Angola	1952	30.015
Africa	Angola	1957	31.999
Africa	Angola	1962	34
Africa	Angola	1967	35.985
Africa	Angola	1972	37.928
Africa	Angola	1977	39.483
Africa	Angola	1982	39.942
Africa	Angola	1987	39.906
Africa	Angola	1992	40.647
Africa	Angola	1997	40.963
Africa	Angola	2002	41.003
Africa	Angola	2007	42.731
Americas	Argentina	1952	62.485
Americas	Argentina	1957	64.399
Americas	Argentina	1962	65.142
Americas	Argentina	1967	65.634
Americas	Argentina	1972	67.065
Americas	Argentina	1977	68.481
Americas	Argentina	1982	69.942
Americas	Argentina	1987	70.774
Americas	Argentina	1992	71.868
Americas	Argentina	1997	73.275
Americas	Argentina	2002	74.34
Americas	Argentina	2007	75.32
	Armenia	1952	62.809
	Armenia	1957	64.928
	Armenia	1962	67.055
	Armenia	1967	69.211
	Armenia	1972	70.786
	Armenia	1977	70.595
	Armenia	1982	70.916
	Armenia	1987	68.408
	Armenia	1992	68.663
	Armenia	1997	70.377
	Armenia	2002	71.403
	Armenia	2007	71.965
	Aruba	1952	60.437
	Aruba	1957	64.381
	Aruba	1962	66.606
	Aruba	1967	68.336
	Aruba	1972	70.941
	Aruba	1977	71.83
	Aruba	1982	74.116
	Aruba	1987	74.494
	Aruba	1992	74.108
	Aruba	1997	73.011
	Aruba	2002	73.451
	Aruba	2007	74.239
	Australia	1950	69.02
	Australia	1951	68.72
	Australia	1952	69.12
	Australia	1953	69.7
	Australia	1954	69.85
	Australia	1955	70.17
	Australia	1956	70.05
	Australia	1957	70.33
	Australia	1958	70.88
	Australia	1959	70.45
	Australia	1960	70.89
	Australia	1961	71.16
	Australia	1962	70.93
	Australia	1963	70.99
	Australia	1964	70.65
	Australia	1965	70.98
	Australia	1966	70.82
	Australia	1967	71.1
	Australia	1968	70.73
	Australia	1969	71.14
	Australia	1970	70.81
	Australia	1971	71.41
	Australia	1972	71.93
	Australia	1973	72.14
	Australia	1974	71.89
	Australia	1975	72.84
	Australia	1976	72.88
	Australia	1977	73.49
	Australia	1978	73.88
	Australia	1979	74.44
	Australia	1980	74.6
	Australia	1981	74.97
	Australia	1982	74.74
	Australia	1983	75.55
	Australia	1984	76.02
	Australia	1985	75.46
	Australia	1986	76.13
	Australia	1987	76.32
	Australia	1988	76.36
	Australia	1989	76.46
	Australia	1990	77.06
	Australia	1991	77.55
	Australia	1992	77.56
	Australia	1993	78.1
	Australia	1994	78.1
	Australia	1995	78.49
	Australia	1996	78.56
	Australia	1997	78.83
	Australia	1998	79.33
	Australia	1999	79.58
	Australia	2000	79.99
	Australia	2001	80.35
	Australia	2002	80.37
	Australia	2003	80.78
	Australia	2004	81.15
	Australia	2007	81.235
Europe	Austria	1950	64.88
Europe	Austria	1951	65.26
Europe	Austria	1952	66.8
Europe	Austria	1953	67.29
Europe	Austria	1954	67.32
Europe	Austria	1955	67.6
Europe	Austria	1956	67.72
Europe	Austria	1957	67.48
Europe	Austria	1958	68.49
Europe	Austria	1959	68.42
Europe	Austria	1960	68.78
Europe	Austria	1961	69.75
Europe	Austria	1962	69.54
Europe	Austria	1963	69.67
Europe	Austria	1964	70.16
Europe	Austria	1965	69.95
Europe	Austria	1966	70.26
Europe	Austria	1967	70.14
Europe	Austria	1968	70.29
Europe	Austria	1969	70.06
Europe	Austria	1970	70.11
Europe	Austria	1971	70.31
Europe	Austria	1972	70.63
Europe	Austria	1973	71.21
Europe	Austria	1974	71.2
Europe	Austria	1975	71.33
Europe	Austria	1976	71.82
Europe	Austria	1977	72.17
Europe	Austria	1978	72.25
Europe	Austria	1979	72.56
Europe	Austria	1980	72.7
Europe	Austria	1981	73.02
Europe	Austria	1982	73.18
Europe	Austria	1983	73.25
Europe	Austria	1984	73.79
Europe	Austria	1985	74.01
Europe	Austria	1986	74.49
Europe	Austria	1987	74.94
Europe	Austria	1988	75.41
Europe	Austria	1989	75.5
Europe	Austria	1990	75.77
Europe	Austria	1991	75.83
Europe	Austria	1992	76.04
Europe	Austria	1993	76.27
Europe	Austria	1994	76.6
Europe	Austria	1995	76.84
Europe	Austria	1996	77.1
Europe	Austria	1997	77.51
Europe	Austria	1998	77.88
Europe	Austria	1999	78.06
Europe	Austria	2000	78.35
Europe	Austria	2001	78.85
Europe	Austria	2002	78.98
Europe	Austria	2003	78.98
Europe	Austria	2004	79.49
Europe	Austria	2005	79.66
