geneDel	chromo	chromoPretty	pheno
YAL001C	1	A / I	9.39030479758889
YAL002W	1	A / I	9.4021038824159
YAL003W	1	A / I	10.3786636795532
YAL004W	1	A / I	10.5360353272761
YAL005C	1	A / I	8.64501923463886
YAL007C	1	A / I	8.81125764423074
YAL008W	1	A / I	9.74197899996623
YAL009W	1	A / I	10.5403951013030
YAL010C	1	A / I	10.2261685027266
YAL011W	1	A / I	9.9225478614661
YAL012W	1	A / I	7.40799494860145
YAL013W	1	A / I	8.28263517721172
YAL014C	1	A / I	10.4618678591533
YAL015C	1	A / I	10.4608234290711
YAL016W	1	A / I	9.29278882322987
YAL017W	1	A / I	10.6036615834374
YAL018C	1	A / I	9.58522816726616
YAL019W	1	A / I	9.0510142546953
YAL020C	1	A / I	10.4143594655880
YAL021C	1	A / I	10.5618673833799
YAL022C	1	A / I	9.99755041867986
YAL023C	1	A / I	9.65600474023306
YAL025C	1	A / I	9.8865762584532
YAL026C	1	A / I	10.4986492380726
YAL027W	1	A / I	8.43753557280795
YAL028W	1	A / I	8.21744798408352
YAL029C	1	A / I	8.51663667038666
YAL030W	1	A / I	10.0745952335616
YAL031C	1	A / I	9.79842684354534
YAL032C	1	A / I	8.26687819211156
YAL033W	1	A / I	9.25960545719825
YAL034C	1	A / I	7.7120483414157
YAL034W-a	1	A / I	9.46091986376613
YAL035W	1	A / I	10.2582260335185
YAL036C	1	A / I	10.1451526706872
YAL037W	1	A / I	10.3666627165942
YAL038W	1	A / I	10.3796839702511
YAL039C	1	A / I	8.44994286341245
YAL040C	1	A / I	9.77053510066103
YAL041W	1	A / I	8.22108161325575
YAL042W	1	A / I	10.0422563455690
YAL043C	1	A / I	9.23799998183968
YAL044C	1	A / I	7.58689631086983
YAL045C	1	A / I	10.2013457508638
YAL046C	1	A / I	6.04616634915342
YAL047C	1	A / I	8.16755796324313
YAL048C	1	A / I	6.02907717250166
YAL049C	1	A / I	7.47341607038266
YAL051W	1	A / I	10.3273215595662
YAL053W	1	A / I	10.2809669836736
YAL054C	1	A / I	10.0146977818503
YAL055W	1	A / I	9.98784065919335
YAL056W	1	A / I	7.77454884580984
YAL058C-A	1	A / I	9.94679478866239
YAL058W	1	A / I	8.0418304807911
YAL059W	1	A / I	10.5707259366853
YAL060W	1	A / I	10.1767505798350
YAL061W	1	A / I	9.8477843831108
YAL062W	1	A / I	9.940089606712
YAL064C-A	1	A / I	9.8002277182181
YAL065C	1	A / I	9.93232079704083
YAL066W	1	A / I	7.25186107352594
YAL067C	1	A / I	7.41478242290195
YAL068C	1	A / I	10.1503140410115
YAR002W	1	A / I	8.44546312255414
YAR003W	1	A / I	10.3163915292033
YAR007C	1	A / I	10.5402075946732
YAR008W	1	A / I	10.2665922995589
YAR014C	1	A / I	9.83644042795824
YAR015W	1	A / I	10.5947596816339
YAR018C	1	A / I	8.83361183246441
YAR019C	1	A / I	10.3303263680585
YAR020C	1	A / I	10.4360303062484
YAR023C	1	A / I	10.3254221858585
YAR027W	1	A / I	10.2602830658345
YAR028W	1	A / I	9.98154699219398
YAR029W	1	A / I	10.0232589210114
YAR030C	1	A / I	10.3952896994087
YAR031W	1	A / I	9.94462215926884
YAR035W	1	A / I	10.3281796822846
YAR037W	1	A / I	10.2033413100297
YAR040C	1	A / I	10.3962655959884
YAR042W	1	A / I	10.5865670284366
YAR043C	1	A / I	10.3845033997586
YAR044W	1	A / I	10.4109060330551
YAR047C	1	A / I	9.30908146047956
YAR050W	1	A / I	7.127342233651
YBL001C	2	B / II	6.59045953691704
YBL002W	2	B / II	5.92441259573697
YBL003C	2	B / II	6.22975359824679
YBL004W	2	B / II	10.0227253187582
YBL005W	2	B / II	6.19268809826736
YBL006C	2	B / II	9.86317666233171
YBL007C	2	B / II	9.65541185180331
YBL008W	2	B / II	9.39506011763697
YBL009W	2	B / II	9.92746600246113
YBL010C	2	B / II	8.83155040030583
YBL011W	2	B / II	8.91676079117928
YBL012C	2	B / II	9.45308186981621
YBL013W	2	B / II	9.65149233071948
YBL014C	2	B / II	6.11319517579076
YBL015W	2	B / II	10.0424118500159
YBL016W	2	B / II	10.3952953537839
YBL017C	2	B / II	8.4708109993257
YBL018C	2	B / II	10.2718747883153
YBL019W	2	B / II	8.2923776096358
YBL020W	2	B / II	9.3537611585043
YBL021C	2	B / II	6.11649315737734
YBL022C	2	B / II	6.39510198539275
YBL023C	2	B / II	9.41526474788372
YBL024W	2	B / II	10.134502574493
YBL025W	2	B / II	10.3800142096005
YBL026W	2	B / II	10.1137495347873
YBL027W	2	B / II	8.513556853196
YBL028C	2	B / II	9.57925746499423
YBL029W	2	B / II	9.9737761216564
YBL030C	2	B / II	6.6758158929215
YBL031W	2	B / II	10.4677733825771
YBL032W	2	B / II	9.30480606309133
YBL033C	2	B / II	9.88404353848132
YBL034C	2	B / II	9.61732199396167
YBL035C	2	B / II	10.5643502843008
YBL036C	2	B / II	10.4667605421939
YBL037W	2	B / II	9.54593838092478
YBL038W	2	B / II	9.07491171803608
YBL039C	2	B / II	10.0905607324107
YBL040C	2	B / II	10.2698008511878
YBL041W	2	B / II	9.82820539299898
YBL042C	2	B / II	10.2310485075157
YBL043W	2	B / II	6.13041465743606
YBL044W	2	B / II	6.29589194698037
YBL045C	2	B / II	10.2204932161882
YBL046W	2	B / II	9.78454572040557
YBL047C	2	B / II	6.4396720920406
YBL048W	2	B / II	9.73385663961175
YBL049W	2	B / II	10.2091199267183
YBL050W	2	B / II	9.09367982114226
YBL051C	2	B / II	10.4555241635988
YBL052C	2	B / II	9.8252891533804
YBL053W	2	B / II	10.0570168585196
YBL054W	2	B / II	10.4437166127956
YBL055C	2	B / II	10.1270167857830
YBL056W	2	B / II	10.2353991432367
YBL057C	2	B / II	9.71188897431628
YBL058W	2	B / II	6.19671082553222
YBL059W	2	B / II	10.3438921821382
YBL060W	2	B / II	9.84064828067984
YBL061C	2	B / II	10.0006294066734
YBL062W	2	B / II	8.64351672854633
YBL063W	2	B / II	10.1954861752704
YBL064C	2	B / II	10.2617527145219
YBL065W	2	B / II	8.55138065809096
YBL066C	2	B / II	10.3955269784814
YBL067C	2	B / II	9.62619772765415
YBL068W	2	B / II	10.5258945213019
YBL069W	2	B / II	6.55284983468534
YBL070C	2	B / II	9.80510074860048
YBL071C	2	B / II	10.1606244093112
YBL072C	2	B / II	9.97796206915342
YBL073W	2	B / II	9.98403678917532
YBL074C	2	B / II	10.5662543437311
YBL075C	2	B / II	6.4409923335511
YBL076C	2	B / II	10.1186480968897
YBL077W	2	B / II	9.9486081414989
YBL078C	2	B / II	10.1972141568063
YBL079W	2	B / II	9.79333244438143
YBL080C	2	B / II	9.27465210109009
YBL081W	2	B / II	9.83585893359772
YBL082C	2	B / II	10.4762127645321
YBL083C	2	B / II	9.49678357632005
YBL084C	2	B / II	8.62292969061493
YBL085W	2	B / II	10.5010478563848
YBL086C	2	B / II	9.7220350324282
YBL087C	2	B / II	9.14494949737172
YBL088C	2	B / II	8.3133519640889
YBL089W	2	B / II	9.70571703493136
YBL090W	2	B / II	9.7892493151649
YBL091C	2	B / II	7.91977458520431
YBL091C-A	2	B / II	9.00264997028186
YBL092W	2	B / II	9.29473101383757
YBL093C	2	B / II	9.21752650021828
YBL094C	2	B / II	10.0066556557568
YBL095W	2	B / II	9.05492472256051
YBL096C	2	B / II	9.30338437317689
YBL097W	2	B / II	9.33070938264674
YBL098W	2	B / II	9.96327141832246
YBL099W	2	B / II	8.6293754551967
YBL100C	2	B / II	8.12769052962071
YBL101C	2	B / II	8.24544024050824
YBL102W	2	B / II	9.28574950116128
YBL103C	2	B / II	7.81260076124848
YBL104C	2	B / II	9.57352585386005
YBL105C	2	B / II	9.24006367871988
YBL106C	2	B / II	9.65837207478062
YBL107C	2	B / II	10.0967090848418
YBR001C	2	B / II	10.0122055575407
YBR002C	2	B / II	9.23743905788997
YBR003W	2	B / II	10.0247204032464
YBR004C	2	B / II	6.64886853403195
