Year;Month;Product;Quantity
2010;1;Product A;37884
2010;1;Product B;6564
2010;1;Product C;57214
2010;1;Product D;7244
2010;1;Product E;72634
2010;1;Product F;2635
2010;1;Product G;46556
2010;1;Product H;21897
2010;1;Product I;26021
2010;1;Product J;109222
2010;2;Product A;34287
2010;2;Product B;6883
2010;2;Product C;48226
2010;2;Product D;7002
2010;2;Product E;76001
2010;2;Product F;1855
2010;2;Product G;43721
2010;2;Product H;21299
2010;2;Product I;34816
2010;2;Product J;112570
2010;3;Product A;59362
2010;3;Product B;14459
2010;3;Product C;76592
2010;3;Product D;9498
2010;3;Product E;127546
2010;3;Product F;3563
2010;3;Product G;63079
2010;3;Product H;32738
2010;3;Product I;52380
2010;3;Product J;159877
2010;4;Product A;45002
2010;4;Product B;10970
2010;4;Product C;63333
2010;4;Product D;8567
2010;4;Product E;105742
2010;4;Product F;3476
2010;4;Product G;57425
2010;4;Product H;27606
2010;4;Product I;47595
2010;4;Product J;156859
2010;5;Product A;53332
2010;5;Product B;12063
2010;5;Product C;69288
2010;5;Product D;9494
2010;5;Product E;104524
2010;5;Product F;3392
2010;5;Product G;54161
2010;5;Product H;29274
2010;5;Product I;43549
2010;5;Product J;155461
2010;6;Product A;59909
2010;6;Product B;14972
2010;6;Product C;80398
2010;6;Product D;9415
2010;6;Product E;115688
2010;6;Product F;3390
2010;6;Product G;63334
2010;6;Product H;34883
2010;6;Product I;49106
2010;6;Product J;168943
2010;7;Product A;49942
2010;7;Product B;12219
2010;7;Product C;66789
2010;7;Product D;7807
2010;7;Product E;104620
2010;7;Product F;4167
2010;7;Product G;57033
2010;7;Product H;33115
2010;7;Product I;40947
2010;7;Product J;140780
2010;8;Product A;33522
2010;8;Product B;7168
2010;8;Product C;41540
2010;8;Product D;4941
2010;8;Product E;61457
2010;8;Product F;1211
2010;8;Product G;36828
2010;8;Product H;20037
2010;8;Product I;31872
2010;8;Product J;111056
2010;9;Product A;57556
2010;9;Product B;17143
2010;9;Product C;75942
2010;9;Product D;7912
2010;9;Product E;116203
2010;9;Product F;2472
2010;9;Product G;49155
2010;9;Product H;22450
2010;9;Product I;47032
2010;9;Product J;161055
2010;10;Product A;48895
2010;10;Product B;11486
2010;10;Product C;68277
2010;10;Product D;7919
2010;10;Product E;92036
2010;10;Product F;2732
2010;10;Product G;51200
2010;10;Product H;26715
2010;10;Product I;45343
2010;10;Product J;146842
2010;11;Product A;45268
2010;11;Product B;10460
2010;11;Product C;65584
2010;11;Product D;8445
2010;11;Product E;83380
2010;11;Product F;2329
2010;11;Product G;51337
2010;11;Product H;26011
2010;11;Product I;36258
2010;11;Product J;137567
2010;12;Product A;48460
2010;12;Product B;11527
2010;12;Product C;59812
2010;12;Product D;7166
2010;12;Product E;77615
2010;12;Product F;2109
2010;12;Product G;40481
2010;12;Product H;22122
2010;12;Product I;35537
2010;12;Product J;123219
2011;1;Product A;37847
2011;1;Product B;8916
2011;1;Product C;48969
2011;1;Product D;5264
2011;1;Product E;74047
2011;1;Product F;2440
2011;1;Product G;46324
2011;1;Product H;21812
2011;1;Product I;33590
2011;1;Product J;133960
2011;2;Product A;36382
2011;2;Product B;7426
2011;2;Product C;48107
2011;2;Product D;5903
2011;2;Product E;71784
2011;2;Product F;1600
2011;2;Product G;40866
2011;2;Product H;23038
2011;2;Product I;33425
2011;2;Product J;121263
2011;3;Product A;67707
2011;3;Product B;16627
2011;3;Product C;81631
2011;3;Product D;9697
2011;3;Product E;135037
2011;3;Product F;3555
2011;3;Product G;72767
2011;3;Product H;36140
2011;3;Product I;52628
2011;3;Product J;190725
2011;4;Product A;52061
2011;4;Product B;11212
2011;4;Product C;65662
2011;4;Product D;7831
2011;4;Product E;86578
2011;4;Product F;3495
2011;4;Product G;56886
2011;4;Product H;26941
2011;4;Product I;39706
2011;4;Product J;157769
2011;5;Product A;52830
2011;5;Product B;10970
2011;5;Product C;70780
2011;5;Product D;7795
2011;5;Product E;85687
2011;5;Product F;2963
2011;5;Product G;55476
2011;5;Product H;27389
2011;5;Product I;40307
2011;5;Product J;149640
2011;6;Product A;65792
2011;6;Product B;14585
2011;6;Product C;78865
2011;6;Product D;8666
2011;6;Product E;122783
2011;6;Product F;3776
2011;6;Product G;59327
2011;6;Product H;30089
2011;6;Product I;46231
2011;6;Product J;170972
2011;7;Product A;50542
